Instance,#cols,#rows,DXZ,Solutions,Max Blocks,|ZDD|,|DNNF|
AsnetAm.txt,83,17209,584.3582,10940176835337547967924371034466868710630875677480103542870936241337139500367104,,761130,
AttMpls.txt,43,3818,2.8282,332079085047889148852050485582652086278656000,,5659,
Bellcanada.txt,79,10336,135.3373,21734494071839738913800372841092339928806213887682976,,50529,
Bellsouth.txt,92,7366,20.6988,25499846072471603994198597758742212232593756141300827054153268206047828847968750000000000000000000000,,36204,
BeyondTheNetwork.txt,54,22189,187.3890,2295287706099684505114490054400,,28169,
BtNorthAmerica.txt,48,21971,259.6489,77832850131400759213277281147715111455060618217472,,45179,
Cernet.txt,38,9564,28.5679,999911045595155186882207018646590760,,11695,
Cesnet200706.txt,33,7618,16.2753,26379159737915280007275994063063067339520,,12779,
Cesnet201006.txt,40,4525,4.0954,80299268806739645462729470199902374912,,5608,
Chinanet.txt,41,10731,30.2846,176727991793056467571205005439579591987494173900,,18755,
Cogentco.txt,197,4568,TO,,,,
Colt.txt,142,9260,340.9682,1689163681250005833547215512283891717896679964994070256658525395487885885518711535450845316906609600,,710490,
Columbus.txt,87,13380,327.9094,5090009455158177059209193331838145145990297840,,88643,
Cudi.txt,88,6257,13.5173,98887636113082547323646407045739194489389917934081369993997279669055703758187244382982871449600,,17257,
Deltacom.txt,82,14172,263.0661,1280280065758737170659221716367433092000,,32160,
DeutscheTelekom.txt,76,11986,TO,,,,
Dfn.txt,58,6748,TO,,,,
DialtelecomCz.txt,200,11332,1039.9533,150613714105720391095453664020662786243696345146138543367067615803011599351747477939078717990517939704097645666746368,,1100749,
Esnet.txt,55,11716,88.1532,102339557612778829053460458922240934506659840,,31496,
Forthnet.txt,66,3953,10.5438,546450507006957294468261464125560707481600,,8049,
Garr200902.txt,51,7717,76.6026,144954582223854446917895755730894050587033600,,40594,
Garr200908.txt,51,5685,38.0336,149557807934502940246059184369284846005760,,32533,
Garr200909.txt,53,6924,39.3030,1015814853378741778651688378867374211652608030036700,,18325,
Garr200912.txt,54,16655,261.5444,302484739320686513198704378660573950216000000,,30459,
Garr201001.txt,53,8063,76.2540,492173555273235782445110509807618914159532391081780400,,39619,
Garr201003.txt,54,17774,168.3801,4638858188061670631035222623544784343959242100869939200,,31595,
Garr201004.txt,54,18136,1253.7814,1379038779832011838688761591791769248162786698487398400,,196817,
Garr201005.txt,53,5444,21.0399,2293097254697450131457776011042855581295873607716000000,,22518,
Garr201007.txt,53,17345,454.1268,39747929163012952611440662382722282096715815018884000,,74112,
Garr201008.txt,53,9366,92.1256,441017805172365879603264736562302156800,,28591,
Garr201010.txt,55,12866,93.0819,215075245475688008898001197069296849560769377861632,,18637,
Garr201012.txt,55,14952,742.3527,2988224155251923877291845483530704354380312412422257413980160,,199722,
Garr201101.txt,55,15690,113.4719,573317548987789097336271960547973429726112,,16739,
Garr201102.txt,57,14448,78.9156,1033590414327575680675386997247699230337689791329716392796160000,,23107,
Garr201103.txt,60,12479,120.3697,2147459890664978716183667828077727376557650326161719296000,,37474,
Garr201104.txt,64,16525,239.2403,909510916109358425971111718400000,,47105,
Garr201105.txt,64,18850,TO,,,,
Garr201107.txt,64,7145,305.9310,5423976524379650916616394250035102198368324500,,176775,
Garr201108.txt,64,6962,29.6545,483513403404754255153502412978375508469243230663666040832000000000,,18743,
Garr201109.txt,64,16755,698.6599,5771080089975474743530695183060166656,,78157,
Garr201110.txt,64,7380,98.5059,70827947477273144207346637473284640342509260800000,,48522,
Garr201111.txt,63,3785,18.4388,217033881231731069977192965857031193110773760000,,18437,
Garr201112.txt,65,4258,12.4130,18280671064677937442888167436526553379132166550703285867361024,,12306,
Garr201201.txt,66,15242,TO,,,,
Geant2009.txt,46,16272,69.4213,206876241822531419589522189500640198999107813945009331982080,,24063,
Geant2010.txt,44,17643,57.6705,2039888960520741211356885071103348586967815799049337903680,,19623,
Geant2012.txt,45,18639,84.4460,84281484538735062171868395307266889489569117199673856,,23039,
Globenet.txt,56,12729,132.6587,64421415402945201674398356763513082231810880,,35651,
GtsCe.txt,149,4051,TO,,,,
HiberniaGlobal.txt,47,3672,4.8883,167702743319829806575827120,,4052,
Highwinds.txt,48,18878,314.8135,8138287226951413662322901815490966247900,,47939,
Iij.txt,51,17880,158.0149,137108949987302317974696724082337580832771051874000,,35230,
Intellifiber.txt,51,3261,15.3391,36549802787055953709844384931432745900000,,40578,
Internode.txt,42,5309,9.2701,17086140349704335830394759139844981612560,,9921,
Interoute.txt,110,3675,TO,,,,
Intranetwork.txt,41,2852,1.0989,10550301506245098778162949708954793612570,,2782,
Ion.txt,112,6265,13.4019,28974053246635502194526777647958400,,5437,
Iris.txt,58,8078,1039.6169,112566891049207111041061862674382154408460800,,540120,
Kdl.txt,754,4889,TO,,,,
Latnet.txt,115,2932,146.3672,881192229446354281751953125000,,224701,
Missouri.txt,48,7691,27.7184,1998709288134217991220,,7284,
Ntelos.txt,62,7982,52.2013,24690483989431723448923965342704977321718663728558080,,27642,
Ntt.txt,54,3502,3.3589,2240076355517039400341618299647502136137432699354194169036800,,10911,
Oteglobe.txt,76,10506,470.5377,1380078795623701280078238316576410696206210115871703040,,110183,
