Instance,#cols,#rows,DLX,Solutions,Max Blocks,|ZDD|,|DNNF|
AsnetAm.txt,83,17209,TO,,,,
AttMpls.txt,43,3818,TO,,,,
Bellcanada.txt,79,10336,TO,,,,
Bellsouth.txt,92,7366,TO,,,,
BeyondTheNetwork.txt,54,22189,TO,,,,
BtNorthAmerica.txt,48,21971,TO,,,,
Cernet.txt,38,9564,TO,,,,
Cesnet200706.txt,33,7618,TO,,,,
Cesnet201006.txt,40,4525,TO,,,,
Chinanet.txt,41,10731,TO,,,,
Cogentco.txt,197,4568,TO,,,,
Colt.txt,142,9260,TO,,,,
Columbus.txt,87,13380,TO,,,,
Cudi.txt,88,6257,TO,,,,
Deltacom.txt,82,14172,TO,,,,
DeutscheTelekom.txt,76,11986,TO,,,,
Dfn.txt,58,6748,TO,,,,
DialtelecomCz.txt,200,11332,TO,,,,
Esnet.txt,55,11716,TO,,,,
Forthnet.txt,66,3953,TO,,,,
Garr200902.txt,51,7717,TO,,,,
Garr200908.txt,51,5685,TO,,,,
Garr200909.txt,53,6924,TO,,,,
Garr200912.txt,54,16655,TO,,,,
Garr201001.txt,53,8063,TO,,,,
Garr201003.txt,54,17774,TO,,,,
Garr201004.txt,54,18136,TO,,,,
Garr201005.txt,53,5444,TO,,,,
Garr201007.txt,53,17345,TO,,,,
Garr201008.txt,53,9366,TO,,,,
Garr201010.txt,55,12866,TO,,,,
Garr201012.txt,55,14952,TO,,,,
Garr201101.txt,55,15690,TO,,,,
Garr201102.txt,57,14448,TO,,,,
Garr201103.txt,60,12479,TO,,,,
Garr201104.txt,64,16525,TO,,,,
Garr201105.txt,64,18850,TO,,,,
Garr201107.txt,64,7145,TO,,,,
Garr201108.txt,64,6962,TO,,,,
Garr201109.txt,64,16755,TO,,,,
Garr201110.txt,64,7380,TO,,,,
Garr201111.txt,63,3785,TO,,,,
Garr201112.txt,65,4258,TO,,,,
Garr201201.txt,66,15242,TO,,,,
Geant2009.txt,46,16272,TO,,,,
Geant2010.txt,44,17643,TO,,,,
Geant2012.txt,45,18639,TO,,,,
Globenet.txt,56,12729,TO,,,,
GtsCe.txt,149,4051,TO,,,,
HiberniaGlobal.txt,47,3672,TO,,,,
Highwinds.txt,48,18878,TO,,,,
Iij.txt,51,17880,TO,,,,
Intellifiber.txt,51,3261,TO,,,,
Internode.txt,42,5309,TO,,,,
Interoute.txt,110,3675,TO,,,,
Intranetwork.txt,41,2852,TO,,,,
Ion.txt,112,6265,TO,,,,
Iris.txt,58,8078,TO,,,,
Kdl.txt,754,4889,TO,,,,
Latnet.txt,115,2932,TO,,,,
Missouri.txt,48,7691,TO,,,,
Ntelos.txt,62,7982,TO,,,,
Ntt.txt,54,3502,TO,,,,
Oteglobe.txt,76,10506,TO,,,,
Palmetto.txt,54,15699,TO,,,,
Pern.txt,29,10499,TO,,,,
PionierL3.txt,45,16083,TO,,,,
RedBestel.txt,104,10073,TO,,,,
Renater2010.txt,53,20026,TO,,,,
RoedunetFibre.txt,53,5542,TO,,,,
Sinet.txt,31,15324,TO,,,,
Surfnet.txt,45,5697,TO,,,,
Switch.txt,79,6676,TO,,,,
SwitchL3.txt,62,18502,TO,,,,
Syringa.txt,55,8950,TO,,,,
TataNld.txt,65,11943,TO,,,,
Telcove.txt,51,5471,TO,,,,
Tinet.txt,59,4911,TO,,,,
Tw.txt,79,12755,TO,,,,
Ulaknet.txt,38,4412,TO,,,,
Uninett2010.txt,74,4863,TO,,,,
Uninett2011.txt,69,3545,TO,,,,
UsCarrier.txt,88,16653,TO,,,,
UsSignal.txt,62,17215,TO,,,,
Uunet.txt,65,18711,TO,,,,
VtlWavenet2008.txt,137,20023,TO,,,,
VtlWavenet2011.txt,143,7362,TO,,,,
bell-09.txt,9,511,0.5611,21147,,,
bell-10.txt,10,1023,3.3929,115975,,,
delta.txt,126,1194,25.9476,78,,,
dominoes_10x10.txt,100,180,TO,,,,
dominoes_8x8.txt,64,112,354.9542,12988816,,,
doublefact-17.txt,18,153,588.9295,34459425,,,
doublefact-19.txt,20,190,TO,,,,
exotic_fives.txt,72,2440,TO,,,,
grafo10116.100.txt,100,3650,TO,,,,
grafo10184.100.txt,100,6383,TO,,,,
grafo10204.100.txt,100,7061,TO,,,,
grafo10237.100.txt,100,6291,TO,,,,
grafo10259.100.txt,100,8183,TO,,,,
grafo10292.100.txt,100,8272,TO,,,,
grafo10305.100.txt,100,3219,TO,,,,
grafo10418.100.txt,100,7378,TO,,,,
grafo10446.95.txt,95,10849,TO,,,,
grafo10469.100.txt,100,7159,TO,,,,
grafo10492.96.txt,96,3029,TO,,,,
grafo10508.100.txt,100,6396,TO,,,,
grafo10534.100.txt,100,7172,TO,,,,
grafo10538.100.txt,100,7602,TO,,,,
grafo10632.100.txt,100,10530,TO,,,,
grafo10638.100.txt,100,6057,TO,,,,
grafo10644.100.txt,100,8391,TO,,,,
grafo10646.100.txt,100,8751,TO,,,,
grafo10652.100.txt,100,3605,TO,,,,
grafo10653.100.txt,100,5825,TO,,,,
grafo10671.100.txt,100,8256,TO,,,,
grafo10772.100.txt,100,9508,TO,,,,
grafo10781.100.txt,100,6181,TO,,,,
grafo10820.100.txt,100,7958,TO,,,,
grafo10865.100.txt,100,3804,TO,,,,
grafo10928.100.txt,100,6295,TO,,,,
grafo10958.98.txt,98,11843,TO,,,,
grafo10962.100.txt,100,5312,TO,,,,
grafo10998.100.txt,100,9060,TO,,,,
grafo11003.100.txt,100,5238,TO,,,,
grafo11020.100.txt,100,5445,TO,,,,
grafo11073.100.txt,100,7237,TO,,,,
grafo11125.100.txt,100,4896,TO,,,,
grafo11227.100.txt,100,8182,TO,,,,
grafo11335.100.txt,100,6894,TO,,,,
grafo11458.100.txt,100,5091,TO,,,,
grafo3532.99.txt,99,7212,TO,,,,
grafo7797.100.txt,100,4313,TO,,,,
grafo7907.80.txt,80,10912,TO,,,,
grafo8127.78.txt,78,2161,TO,,,,
grafo8510.100.txt,100,3701,TO,,,,
grafo8805.80.txt,80,10094,TO,,,,
grafo8812.99.txt,99,7246,TO,,,,
grafo8826.100.txt,100,7961,TO,,,,
grafo8882.100.txt,100,15209,TO,,,,
grafo8892.100.txt,100,6425,TO,,,,
grafo8921.98.txt,98,8588,TO,,,,
grafo9691.79.txt,79,7004,TO,,,,
grafo9738.100.txt,100,7087,TO,,,,
grafo9788.80.txt,80,7477,TO,,,,
heart.txt,180,926,791.7610,6164,,,
kts15-ptpt-0020.txt,132,391,0.2708,8,,,
kts15-ptpt-0021.txt,132,388,0.2747,72,,,
latin7-blk-00008.txt,90,126,3.4271,27072,,,
latin7-blk-00009.txt,90,126,3.4364,27776,,,
meteor.txt,60,2464,380.9401,9212,,,
sppnw07.txt,36,5172,TO,,,,
sppnw08.txt,24,434,10.8463,285701,,,
sppnw09.txt,40,3103,TO,,,,
sppnw10.txt,24,853,42.0349,318168,,,
sppnw12.txt,27,626,TO,,,,
sppnw15.txt,31,467,0.4025,46,,,
sppnw19.txt,40,2879,TO,,,,
sppnw20.txt,22,685,15.6807,538696,,,
sppnw21.txt,25,577,8.8254,291047,,,
sppnw22.txt,23,619,10.0475,286758,,,
tetrominoes_6x6.txt,36,381,26.0085,178939,,,
tetrominoes_8x8.txt,64,801,TO,,,,
