Instance,#cols,#rows,DynDXD_T8,Solutions,Max Blocks,|ZDD|,|DNNF|
AsnetAm.txt,83,17209,7.6778,10940176835337547967924371034466868710630875677480103542870936241337139500367104,15,,21808
AttMpls.txt,43,3818,0.2947,332079085047889148852050485582652086278656000,7,,5103
Bellcanada.txt,79,10336,17.2461,21734494071839738913800372841092339928806213887682976,6,,37726
Bellsouth.txt,92,7366,2.6194,25499846072471603994198597758742212232593756141300827054153268206047828847968750000000000000000000000,23,,19076
BeyondTheNetwork.txt,54,22189,13.1707,2295287706099684505114490054400,7,,22281
BtNorthAmerica.txt,48,21971,16.6362,77832850131400759213277281147715111455060618217472,7,,30476
Cernet.txt,38,9564,2.0006,999911045595155186882207018646590760,7,,8739
Cesnet200706.txt,33,7618,1.4563,26379159737915280007275994063063067339520,7,,9545
Cesnet201006.txt,40,4525,0.4294,80299268806739645462729470199902374912,9,,4085
Chinanet.txt,41,10731,1.4147,176727991793056467571205005439579591987494173900,10,,10787
Cogentco.txt,197,4568,TO,,,,
Colt.txt,142,9260,17.9612,1689163681250005833547215512283891717896679964994070256658525395487885885518711535450845316906609600,9,,191415
Columbus.txt,87,13380,3.9097,5090009455158177059209193331838145145990297840,10,,12300
Cudi.txt,88,6257,1.1710,98887636113082547323646407045739194489389917934081369993997279669055703758187244382982871449600,15,,9244
Deltacom.txt,82,14172,20.8942,1280280065758737170659221716367433092000,9,,9895
DeutscheTelekom.txt,76,11986,39.7485,830092987687112518055852931366741759752919843750000000000,11,,53944
Dfn.txt,58,6748,33.9755,52708983971456817471099323712565054699137671799041662076197844057507161465336462002221118240,5,,535160
DialtelecomCz.txt,200,11332,24.4808,150613714105720391095453664020662786243696345146138543367067615803011599351747477939078717990517939704097645666746368,41,,86276
Esnet.txt,55,11716,5.0119,102339557612778829053460458922240934506659840,17,,13520
Forthnet.txt,66,3953,0.5915,546450507006957294468261464125560707481600,13,,4082
Garr200902.txt,51,7717,2.2522,144954582223854446917895755730894050587033600,7,,9607
Garr200908.txt,51,5685,0.6589,149557807934502940246059184369284846005760,9,,5711
Garr200909.txt,53,6924,3.6595,1015814853378741778651688378867374211652608030036700,12,,9880
Garr200912.txt,54,16655,9.5653,302484739320686513198704378660573950216000000,9,,13855
Garr201001.txt,53,8063,2.9498,492173555273235782445110509807618914159532391081780400,15,,9530
Garr201003.txt,54,17774,8.8656,4638858188061670631035222623544784343959242100869939200,8,,15857
Garr201004.txt,54,18136,12.0514,1379038779832011838688761591791769248162786698487398400,14,,19731
Garr201005.txt,53,5444,1.2455,2293097254697450131457776011042855581295873607716000000,13,,7921
Garr201007.txt,53,17345,14.4970,39747929163012952611440662382722282096715815018884000,7,,22197
Garr201008.txt,53,9366,3.1032,441017805172365879603264736562302156800,15,,7581
Garr201010.txt,55,12866,5.4643,215075245475688008898001197069296849560769377861632,13,,12228
Garr201012.txt,55,14952,12.1054,2988224155251923877291845483530704354380312412422257413980160,10,,22009
Garr201101.txt,55,15690,13.0716,573317548987789097336271960547973429726112,10,,16719
Garr201102.txt,57,14448,5.7921,1033590414327575680675386997247699230337689791329716392796160000,14,,14839
Garr201103.txt,60,12479,7.2537,2147459890664978716183667828077727376557650326161719296000,16,,15020
Garr201104.txt,64,16525,13.3098,909510916109358425971111718400000,10,,12398
Garr201105.txt,64,18850,23.1984,1487141964678119852732414161820029822087541329161798471707622574080,11,,30431
Garr201107.txt,64,7145,7.4550,5423976524379650916616394250035102198368324500,5,,13548
Garr201108.txt,64,6962,2.1528,483513403404754255153502412978375508469243230663666040832000000000,16,,8596
Garr201109.txt,64,16755,29.6870,5771080089975474743530695183060166656,7,,17637
Garr201110.txt,64,7380,4.7106,70827947477273144207346637473284640342509260800000,10,,8165
Garr201111.txt,63,3785,2.6280,217033881231731069977192965857031193110773760000,15,,5442
Garr201112.txt,65,4258,3.8602,18280671064677937442888167436526553379132166550703285867361024,26,,6990
Garr201201.txt,66,15242,56.3170,36795491472742327066416773771513905534902959150926762201912934400,9,,33549
Geant2009.txt,46,16272,12.2314,206876241822531419589522189500640198999107813945009331982080,7,,19092
Geant2010.txt,44,17643,9.8129,2039888960520741211356885071103348586967815799049337903680,8,,19512
