Instance,#cols,#rows,DynDXD_T1,Solutions,Max Blocks,|ZDD|,|DNNF|
AsnetAm.txt,83,17209,57.4515,10940176835337547967924371034466868710630875677480103542870936241337139500367104,15,,21804
AttMpls.txt,43,3818,2.3562,332079085047889148852050485582652086278656000,7,,5040
Bellcanada.txt,79,10336,95.0235,21734494071839738913800372841092339928806213887682976,6,,37726
Bellsouth.txt,92,7366,10.0068,25499846072471603994198597758742212232593756141300827054153268206047828847968750000000000000000000000,23,,19076
BeyondTheNetwork.txt,54,22189,138.7461,2295287706099684505114490054400,7,,19783
BtNorthAmerica.txt,48,21971,160.5053,77832850131400759213277281147715111455060618217472,7,,30560
Cernet.txt,38,9564,21.5791,999911045595155186882207018646590760,7,,8125
Cesnet200706.txt,33,7618,9.4430,26379159737915280007275994063063067339520,7,,9420
Cesnet201006.txt,40,4525,2.6561,80299268806739645462729470199902374912,9,,4084
Chinanet.txt,41,10731,16.4027,176727991793056467571205005439579591987494173900,10,,10525
Cogentco.txt,197,4568,TO,,,,
Colt.txt,142,9260,105.4297,1689163681250005833547215512283891717896679964994070256658525395487885885518711535450845316906609600,9,,191413
Columbus.txt,87,13380,39.7231,5090009455158177059209193331838145145990297840,10,,12300
Cudi.txt,88,6257,7.2440,98887636113082547323646407045739194489389917934081369993997279669055703758187244382982871449600,15,,9307
Deltacom.txt,82,14172,115.6844,1280280065758737170659221716367433092000,9,,9895
DeutscheTelekom.txt,76,11986,217.9972,830092987687112518055852931366741759752919843750000000000,11,,53944
Dfn.txt,58,6748,186.7543,52708983971456817471099323712565054699137671799041662076197844057507161465336462002221118240,5,,535160
DialtelecomCz.txt,200,11332,110.1297,150613714105720391095453664020662786243696345146138543367067615803011599351747477939078717990517939704097645666746368,41,,86293
Esnet.txt,55,11716,35.5496,102339557612778829053460458922240934506659840,17,,13179
Forthnet.txt,66,3953,4.6832,546450507006957294468261464125560707481600,13,,4082
Garr200902.txt,51,7717,17.6753,144954582223854446917895755730894050587033600,7,,9607
Garr200908.txt,51,5685,5.8055,149557807934502940246059184369284846005760,9,,5203
Garr200909.txt,53,6924,18.7906,1015814853378741778651688378867374211652608030036700,12,,9754
Garr200912.txt,54,16655,74.0079,302484739320686513198704378660573950216000000,9,,12691
