Instance,#cols,#rows,DynDXD_T1,Solutions,Max Blocks,|ZDD|,|DNNF|
bell-09.ec,9,511,0.4484,21147,1,,3536
bell-10.ec,10,1023,8.4732,115975,1,,10353
bell-11.ec,11,2047,100.8371,678570,1,,30548
bell-12.ec,,,TO,,,,
delta.txt,126,1194,4.9495,78,1,,331
dominoes_10x10.txt,100,180,0.0189,258500842280,1,,13547
dominoes_10x12.txt,120,218,0.0265,65727306209773,1,,17596
dominoes_12x12.txt,144,264,0.1401,53060477521960000,1,,73857
dominoes_8x10.txt,80,142,0.0043,1031151241,1,,3209
dominoes_8x8.txt,64,112,0.0030,12988816,1,,2316
doublefact-09.ec,10,45,0.0006,945,1,,332
doublefact-11.ec,12,66,0.0018,10395,1,,1076
doublefact-13.ec,14,91,0.0058,135135,1,,3361
doublefact-15.ec,16,120,0.0167,2027025,1,,10226
doublefact-17.ec,18,153,0.0502,34459425,1,,30510
doublefact-19.ec,20,190,0.1561,654729075,1,,89665
doublefact-21.ec,22,231,0.5164,13749310575,1,,260376
doublefact-23.ec,24,276,1.9334,316234143225,1,,748776
doublefact-25.ec,26,325,5.9256,7905853580625,1,,2135980
doublefact-27.ec,28,378,19.5883,213458046676875,1,,6052004
doublefact-29.ec,30,435,57.9330,6190283353629375,1,,17048550
exotic_fives.txt,72,2440,769.3598,31533,1,,184086
grafo10006.98.txt,158,985,0.7236,272471817868228000342011539250,8,,96371
grafo10017.96.txt,,,TO,,,,
grafo10072.97.txt,158,798,3.4717,13882564183497261340443390,6,,413935
grafo10084.97.txt,164,1260,0.2031,2215710702367944079837593600,7,,22169
grafo10093.98.txt,160,653,0.0526,12011373629043051434493001680,8,,11919
grafo10099.94.txt,153,885,0.7677,39349088628024795597276038431211520,8,,285228
grafo10100.99.txt,169,735,0.7789,7977811134928620432600,8,,110921
grafo10105.93.txt,163,2363,29.7161,1676553521883156572140836000,6,,171315
grafo10112.98.txt,170,1324,0.8071,12692278449485651553820752512837640,7,,233398
grafo10113.94.txt,149,719,0.3722,13552406625123665520153488091360,7,,124889
grafo10116.100.txt,174,2644,141.4516,1074861365331266918556319980,6,,1117093
grafo10124.100.txt,165,699,3.0943,148038666442429105828825376220,7,,1334316
grafo10126.98.txt,176,1728,3.4374,183702897869813818435056667996512,6,,872409
grafo10129.99.txt,168,4020,3.8931,198551644286553956304688320,8,,66222
grafo10130.97.txt,181,16885,,,,,
grafo10146.97.txt,160,898,0.2299,36084888290235633242565472,7,,84223
grafo10151.94.txt,163,1536,69.8935,904656396457139592429885232,11,,4494410
grafo10153.100.txt,164,1183,10.3227,1522615820938115230772639040,7,,1134939
grafo10156.97.txt,155,770,1.4189,22914154371865015708952597726940,7,,117377
grafo10160.96.txt,,,TO,,,,
grafo10161.99.txt,178,3163,494.7334,8947576720641049885802731665936,11,,169499
grafo10162.93.txt,155,1380,4.2737,16943723066030712130728,7,,87988
grafo10164.98.txt,,,TO,,,,
grafo10171.99.txt,165,1055,0.2183,15769200352689912829592729376,6,,87480
grafo10173.97.txt,162,1258,11.2430,8343625169242146934592110560,8,,3738929
grafo10175.99.txt,157,657,0.1279,85388328645309376216506001872,6,,74531
grafo10176.97.txt,164,1110,0.6189,110391288988965933859653042432,7,,186178
grafo10179.97.txt,165,1247,6.0870,3278735562651329679897572100,8,,1563384
grafo10184.100.txt,168,984,0.1188,774260303763303208390801489920,8,,39090
grafo10195.99.txt,167,683,0.3500,190292079107394297194953680,8,,31951
grafo10203.97.txt,152,748,0.0477,60240136444714215336356779770000,8,,21725
grafo10204.100.txt,165,1280,0.7364,29653634898146327380379042234220,6,,185842
grafo10205.97.txt,157,808,2.6053,2450985920965558319691974400,8,,17252
grafo10207.98.txt,156,891,0.0861,407524009110382244942767825920,8,,22136
grafo10209.99.txt,160,838,0.3691,1778405443010598595931612784,9,,56508
grafo10215.93.txt,149,638,0.1436,4429033439896804903015219200,8,,15468
grafo10218.99.txt,172,1568,2.6010,38667060581791729436749880064,6,,830870
grafo10220.97.txt,159,1339,0.3708,1790137382988957253095000000,6,,65723
grafo10223.100.txt,158,1123,9.2944,328757268525449878800124560,7,,52231
grafo10237.100.txt,169,3988,11.1491,56690827752941049802755975480,8,,485419
grafo10244.99.txt,169,1740,1.1966,9494309680695561692995554816,6,,78865
grafo10250.100.txt,162,906,0.1519,114852967527687017594839695360,7,,44427
grafo10259.100.txt,,,TO,,,,
grafo10262.100.txt,159,720,0.3772,6525746259024633846681600,8,,16598
grafo10265.100.txt,154,527,0.0482,32094343893604867070884746240,8,,18840
grafo10266.94.txt,146,604,0.5249,110801121815568366975240,7,,21945
grafo10269.99.txt,165,1798,33.9667,633497612146150461289860000,6,,44780
grafo10273.97.txt,160,1216,0.2198,33635956333383979125105139200,7,,102689
grafo10275.97.txt,156,899,3.7069,244644070413026379047679107760,9,,485023
grafo10288.95.txt,151,639,0.0521,67924110954574990800416160000,7,,22904
grafo10291.93.txt,145,744,1.1043,8089182960223746111277546359360,8,,101585
grafo10292.100.txt,,,TO,,,,
grafo10293.99.txt,166,870,0.0557,1189967169400391312521176624192,8,,24719
grafo10297.98.txt,159,712,0.0843,5047361956059511058420258045952,8,,28416
grafo10298.97.txt,161,887,0.3907,7156201735846976840333598600000,8,,21324
grafo10303.96.txt,164,749,0.1439,336623282871798635541043488000,8,,25885
grafo10305.100.txt,179,1630,0.6756,292085589751208531500740959232,7,,31802
grafo10318.98.txt,162,1251,0.3541,160075764596308430431394162528,6,,117805
grafo10325.96.txt,157,888,4.0062,1515393227078433787636237160475,9,,1388294
grafo10327.97.txt,158,709,0.0718,6668191872233180852367168,6,,33408
grafo10339.95.txt,153,1082,1.4753,154016263775635045484598360,7,,247616
grafo10346.97.txt,152,602,0.3581,85352803321813705564434487680,7,,189553
grafo10351.97.txt,154,1482,1.2316,3038891535467749895820555375,6,,316674
grafo10353.99.txt,161,735,3.9605,1036843743939236753336209008,7,,222712
grafo10354.99.txt,161,728,0.0587,2635922965070113457943960,6,,20786
grafo10359.95.txt,154,982,2.4573,21232201433844641535018326254080,9,,879920
grafo10362.94.txt,157,1134,2.3700,13439932228370461283870400,7,,83403
grafo10365.97.txt,175,2806,4.3920,25575509097340632493846860,8,,582384
grafo10369.100.txt,165,1164,4.7782,162269574458684398363738080,10,,16016
grafo10382.94.txt,,,TO,,,,
grafo10383.99.txt,179,1810,54.1389,57257348886332366307365280,10,,272406
grafo10387.97.txt,157,704,0.0457,928110106585327508832600,7,,7094
grafo10388.95.txt,165,1171,0.1549,100871271571286563976946948624,6,,58922
grafo10393.96.txt,172,1111,43.4072,425475125738358970835202279000,4,,13138016
grafo10405.97.txt,,,TO,,,,
grafo10409.96.txt,154,775,1.0533,139058476479714794419701648,8,,20998
grafo10416.96.txt,154,891,0.1490,275385933690750019991344608,7,,25706
grafo10418.100.txt,160,833,0.0652,147754061920021215867995714457600,8,,25150
grafo10420.97.txt,156,770,0.0511,40799332872710765774848481424384,8,,23813
grafo10421.99.txt,167,1119,0.8932,52350402903229612656419750400,7,,56395
grafo10426.100.txt,177,982,5.1165,1827783263299847235344879849799328,5,,1898663
grafo10432.99.txt,164,839,0.1557,39585030704867624378340600668160,7,,78759
grafo10434.98.txt,170,13460,,,,,
grafo10436.95.txt,161,1595,0.9392,4397495877745499771502988640640,7,,122504
grafo10441.98.txt,172,52592,,,,,
grafo10444.100.txt,169,904,0.1597,16141694039854526732472576000000,7,,72018
grafo10445.94.txt,165,1655,0.2411,139093054073990193881088000,6,,67567
grafo10446.95.txt,146,592,0.7008,1406626619252431805138851200,9,,24398
grafo10452.94.txt,152,677,0.0807,1309968238419646304729519520,8,,12159
grafo10453.97.txt,159,712,0.3158,978125278141318365072482158080,8,,59715
