Instance,#cols,#rows,DXD_T1,Solutions,Max Blocks,|ZDD|,|DNNF|
AsnetAm.txt,102,928,0.1858,20064184773096211440000,,,
AttMpls.txt,34,124,0.0049,138690000,,,
Bellcanada.txt,85,934,0.2387,1366309453307994000,,,
Bellsouth.txt,84,678,0.0425,794988832250372760,,,
BeyondTheNetwork.txt,75,928,0.0752,7960497608448,,,
BtNorthAmerica.txt,55,250,0.0035,17798747645952,,,
Cernet.txt,56,237,0.0021,13037563816704,,,
Cesnet200706.txt,42,283,0.0437,14399767872,,,
Cesnet201006.txt,41,188,0.0016,61223500800,,,
Chinanet.txt,34,135,0.0007,7691190,,,
Cogentco.txt,349,22725,453.5854,3811940067702749269823185004547712118338040681746228213615165440000,,,
Colt.txt,264,10901,52.4308,403464790404509581617993990261071729279924336640,,,
Columbus.txt,125,715,0.1078,7165051704986651567,,,
Cudi.txt,71,468,0.0296,9995373489286260,,,
Deltacom.txt,193,955,0.1555,3951934041188949052559872439407542961305600,,,
DeutscheTelekom.txt,68,283,0.0030,1569482805945600,,,
Dfn.txt,93,394,0.0155,164585098635804000,,,
DialtelecomCz.txt,246,1810,1.9738,20368774221577457181929824667570199495600,,,
Esnet.txt,115,8971,10.7494,2404212918172947720,,,
Forthnet.txt,84,414,0.1164,29464511615072976,,,
Garr200902.txt,70,305,0.0051,7824905716064400,,,
Garr200908.txt,67,312,0.0048,463471976167200,,,
Garr200909.txt,73,272,0.0026,622464874416000,,,
Garr200912.txt,69,374,0.0083,2122763494916064,,,
Garr201001.txt,82,333,0.0033,4162117365182599680,,,
Garr201003.txt,72,313,0.0104,39991147739136,,,
Garr201004.txt,92,2459,1.3092,2825001498839593800,,,
Garr201005.txt,81,319,0.0080,7087148919474624,,,
Garr201007.txt,85,643,0.0820,5336270947998010944,,,
Garr201008.txt,69,352,0.0093,388166930756280,,,
Garr201010.txt,93,1682,0.4396,148027474414443820,,,
Garr201012.txt,83,376,0.0149,97131756402639000,,,
Garr201101.txt,83,4082,4.3219,2733651895783360,,,
Garr201102.txt,74,389,0.0116,289823452468285680,,,
Garr201103.txt,93,607,0.0258,188664499520640000,,,
Garr201104.txt,91,583,0.0366,16136087602223714400,,,
Garr201105.txt,78,464,0.0273,1513246451090613120,,,
Garr201107.txt,91,499,0.0295,936844463116800,,,
Garr201108.txt,84,404,0.0118,12012866735768260800,,,
Garr201109.txt,89,561,0.0335,132270243712681500,,,
Garr201110.txt,78,413,0.0114,14056537029740766,,,
Garr201111.txt,86,463,0.0295,5792755250563929648,,,
Garr201112.txt,89,1483,0.7648,374638307489310900,,,
Garr201201.txt,78,489,0.0151,503920288213159104,,,
Geant2009.txt,55,322,0.0380,405899646567480,,,
Geant2010.txt,68,378,0.0190,49350233892960,,,
Geant2012.txt,62,312,0.0082,8453062741836,,,
Globenet.txt,127,1176,0.2460,3614360512588884541440,,,
GtsCe.txt,267,7003,12.4786,1131330101809478215679536685428431899511558581952,,,
HiberniaGlobal.txt,105,851,0.2519,2074561928035084800000,,,
Highwinds.txt,29,123,0.0016,2620625,,,
Iij.txt,48,352,0.1485,74717787200,,,
Intellifiber.txt,139,10057,76.1617,110052395675880068783894112,,,
Internode.txt,66,473,0.0363,656798976200400,,,
Interoute.txt,152,766,0.0250,92298128982085591042551065289360000,,,
Intranetwork.txt,73,337,0.0044,33747703235280000,,,
Ion.txt,,,TO,,,,
Iris.txt,82,278,0.0022,71342977305600000,,,
Kdl.txt,339,187759,2.8781 (WARNING: 0 solutions),0,,,
Latnet.txt,106,501,0.0173,304291353642490026193920,,,
Missouri.txt,109,430,0.0103,57105820983404196432000,,,
Ntelos.txt,78,370,0.0040,12204588447222183936,,,
Ntt.txt,40,210,0.0027,8386993056,,,
Oteglobe.txt,151,809,0.0908,58932142778298816678592512000,,,
Palmetto.txt,69,285,0.0024,873985074811200,,,
Pern.txt,64,392,0.0086,768839913291780,,,
PionierL3.txt,65,279,0.0135,11411355795840,,,
RedBestel.txt,150,839,0.0992,1619510434492756271902713446400,,,
Renater2010.txt,69,306,0.0045,54096125107736880,,,
RoedunetFibre.txt,69,250,0.0021,621254814919200,,,
Sinet.txt,66,1545,0.1402,15071837050368,,,
Surfnet.txt,88,611,0.0769,3342855333091997118,,,
Switch.txt,120,634,0.0460,2279438093318474291882336,,,
SwitchL3.txt,54,226,0.0016,2814573775104,,,
Syringa.txt,126,683,0.2099,10089788438219191257523968000,,,
TataNld.txt,247,1196,0.1229,116699270316984507028179654846752222085120000,,,
Telcove.txt,113,1655,0.2726,74165451814712814103255500,,,
Tinet.txt,94,548,0.0405,13027376900512716134400,,,
Tw.txt,126,868,0.0636,3790029909358778736510720000,,,
Ulaknet.txt,84,2437,0.5831,756492510715200,,,
Uninett2010.txt,138,1439,0.4927,120545239248463249868042304,,,
Uninett2011.txt,,,TO,,,,
UsCarrier.txt,272,2973,1.2715,132299646414148921973967297061663323763487466000,,,
UsSignal.txt,102,631,0.0534,3542621686896383831250,,,
Uunet.txt,64,267,0.0042,1505816007051840,,,
VtlWavenet2008.txt,160,721,0.3295,124108206211482212912333137920,,,
VtlWavenet2011.txt,167,804,0.8051,2067181203168727884189854085729600,,,
bell-06.ec,6,63,0.0003,203,,,
bell-07.ec,7,127,0.0012,877,,,
bell-08.ec,8,255,0.0052,4140,,,
bell-09.ec,9,511,0.0243,21147,,,
bell-10.ec,10,1023,0.1200,115975,,,
bell-11.ec,11,2047,0.6082,678570,,,
bell-12.ec,12,4095,3.1335,4213597,,,
delta.txt,126,1194,31.1420,78,,,
dominoes_10x10.txt,100,180,0.1420,258500842280,,,
dominoes_10x12.txt,120,218,0.2283,65727306209773,,,
dominoes_12x12.txt,144,264,1.2981,53060477521960000,,,
dominoes_8x10.txt,80,142,0.0267,1031151241,,,
dominoes_8x8.txt,64,112,0.0153,12988816,,,
doublefact-09.ec,10,45,0.0005,945,,,
doublefact-11.ec,12,66,0.0015,10395,,,
doublefact-13.ec,14,91,0.0051,135135,,,
doublefact-15.ec,16,120,0.0175,2027025,,,
doublefact-17.ec,18,153,0.0576,34459425,,,
