Instance,#cols,#rows,DynDXD_T8,Solutions,Max Blocks,|ZDD|,|DNNF|
AsnetAm.txt,102,928,0.1597,20064184773096211440000,7,,26997
AttMpls.txt,34,124,0.0043,138690000,6,,2088
Bellcanada.txt,85,934,0.1887,1366309453307994000,7,,37328
Bellsouth.txt,84,678,0.0375,794988832250372760,5,,8614
BeyondTheNetwork.txt,75,928,0.0503,7960497608448,3,,11570
BtNorthAmerica.txt,55,250,0.0059,17798747645952,6,,1519
Cernet.txt,56,237,0.0048,13037563816704,6,,1040
Cesnet200706.txt,42,283,0.0313,14399767872,3,,14413
Cesnet201006.txt,41,188,0.0039,61223500800,5,,768
Chinanet.txt,34,135,0.0014,7691190,4,,272
Cogentco.txt,349,22725,TO,,,,
Colt.txt,,,TO,,,,
Columbus.txt,125,715,0.1578,7165051704986651567,4,,27990
Cudi.txt,71,468,0.0465,9995373489286260,4,,10387
Deltacom.txt,193,955,0.1325,3951934041188949052559872439407542961305600,13,,50975
DeutscheTelekom.txt,68,283,0.0066,1569482805945600,7,,1427
Dfn.txt,93,394,0.0177,164585098635804000,6,,4958
DialtelecomCz.txt,246,1810,1.7868,20368774221577457181929824667570199495600,7,,398219
Esnet.txt,,,TO,,,,
Forthnet.txt,84,414,0.0627,29464511615072976,6,,28891
Garr200902.txt,70,305,0.0075,7824905716064400,7,,2110
Garr200908.txt,67,312,0.0096,463471976167200,6,,1996
Garr200909.txt,73,272,0.0053,622464874416000,7,,1156
Garr200912.txt,69,374,0.0109,2122763494916064,6,,2973
Garr201001.txt,82,333,0.0070,4162117365182599680,8,,1590
Garr201003.txt,72,313,0.0115,39991147739136,6,,3840
Garr201004.txt,92,2459,1.1598,2825001498839593800,4,,91769
Garr201005.txt,81,319,0.0105,7087148919474624,6,,3448
Garr201007.txt,85,643,0.0710,5336270947998010944,5,,20124
Garr201008.txt,69,352,0.0119,388166930756280,5,,3292
Garr201010.txt,93,1682,0.2384,148027474414443820,4,,59961
Garr201012.txt,83,376,0.0196,97131756402639000,6,,5920
Garr201101.txt,83,4082,3.6411,2733651895783360,3,,136147
Garr201102.txt,74,389,0.0157,289823452468285680,6,,4672
Garr201103.txt,93,607,0.0263,188664499520640000,6,,5587
Garr201104.txt,91,583,0.0348,16136087602223714400,6,,10063
Garr201105.txt,78,464,0.0244,1513246451090613120,6,,8428
Garr201107.txt,91,499,0.0225,936844463116800,5,,8385
Garr201108.txt,84,404,0.0157,12012866735768260800,7,,4383
Garr201109.txt,89,561,0.0368,132270243712681500,5,,7581
Garr201110.txt,78,413,0.0139,14056537029740766,6,,3035
Garr201111.txt,86,463,0.0283,5792755250563929648,7,,8950
Garr201112.txt,89,1483,0.7617,374638307489310900,4,,71770
Garr201201.txt,78,489,0.0189,503920288213159104,6,,4447
Geant2009.txt,55,322,0.0274,405899646567480,5,,12534
Geant2010.txt,68,378,0.0224,49350233892960,4,,6391
Geant2012.txt,62,312,0.0125,8453062741836,4,,3110
Globenet.txt,127,1176,0.1723,3614360512588884541440,5,,24727
GtsCe.txt,,,TO,,,,
HiberniaGlobal.txt,105,851,0.1750,2074561928035084800000,5,,50096
Highwinds.txt,29,123,0.0024,2620625,5,,630
Iij.txt,48,352,0.1025,74717787200,3,,42852
Intellifiber.txt,,,TO,,,,
Internode.txt,66,473,0.0323,656798976200400,4,,11013
Interoute.txt,152,766,0.0432,92298128982085591042551065289360000,12,,9222
Intranetwork.txt,73,337,0.0084,33747703235280000,7,,1934
Ion.txt,219,84322,TO,,,,
Iris.txt,82,278,0.0059,71342977305600000,8,,1068
Kdl.txt,339,187759,TO,,,,
Latnet.txt,106,501,0.0246,304291353642490026193920,8,,6470
