Instance,#cols,#rows,DXZ,Solutions,Max Blocks,|ZDD|,|DNNF|
bell-10.ec,10,1023,0.0181,115975,,10353,
bell-11.ec,11,2047,0.1020,678570,,30548,
bell-12.ec,12,4095,0.5455,4213597,,90621,
delta.txt,126,1194,0.4164,78,,331,
dominoes_10x10.txt,100,180,0.1855,258500842280,,13547,
dominoes_10x12.txt,120,218,0.2239,65727306209773,,17596,
dominoes_12x12.txt,144,264,1.0128,53060477521960000,,73857,
dominoes_8x10.txt,80,142,0.0473,1031151241,,3209,
dominoes_8x8.txt,64,112,0.0344,12988816,,2316,
doublefact-09.ec,10,45,0.0001,945,,332,
doublefact-11.ec,12,66,0.0005,10395,,1076,
doublefact-13.ec,14,91,0.0013,135135,,3361,
doublefact-15.ec,16,120,0.0042,2027025,,10226,
doublefact-17.ec,18,153,0.0136,34459425,,30510,
doublefact-19.ec,20,190,0.0551,654729075,,89665,
doublefact-21.ec,22,231,0.2127,13749310575,,260376,
doublefact-23.ec,24,276,0.7011,316234143225,,748776,
doublefact-25.ec,26,325,2.1371,7905853580625,,2135980,
doublefact-27.ec,28,378,8.5403,213458046676875,,6052004,
doublefact-29.ec,30,435,25.5947,6190283353629375,,17048550,
exotic_fives.txt,72,2440,170.1046,31533,,184086,
grafo10006.98.txt,158,985,43.1296,272471106390199377402034931930,,18189059,
grafo10017.96.txt,169,6421,40.3388,1126371818560262602512242856,,12888238,
grafo10072.97.txt,158,798,40.0976,13259003119547347051187296,,15347230,
grafo10084.97.txt,164,1260,4.8528,2215710702367944079837593600,,2519972,
grafo10093.98.txt,160,653,0.0134,12011373629043051434493001680,,16963,
grafo10099.94.txt,153,885,4.3971,39349051696435393361131802792386560,,2182065,
grafo10100.99.txt,169,735,11.0275,7977811134928620432600,,4830032,
grafo10105.93.txt,163,2363,19.0823,1235532278470124343996396000,,7765871,
grafo10112.98.txt,170,1324,0.3848,12692278449485651553820752512837640,,241583,
grafo10113.94.txt,149,719,0.3396,13552406625123665520153488091360,,250796,
grafo10116.100.txt,174,2644,,,,,
grafo10124.100.txt,165,699,7.6809,148038655539174183605749758300,,3635134,
grafo10126.98.txt,176,1728,,,,,
grafo10129.99.txt,168,4020,7.1690,198551632611166496818833600,,2382989,
grafo10130.97.txt,181,16885,,,,,
grafo10146.97.txt,160,898,20.5977,36084888290235633242565472,,8868844,
grafo10151.94.txt,163,1536,,,,,
grafo10153.100.txt,164,1183,,,,,
grafo10156.97.txt,155,770,4.2145,20350788179756775262699366145880,,2311736,
grafo10160.96.txt,174,5415,40.4238,14752172374814295543468672,,15761923,
grafo10161.99.txt,178,3163,91.9473,7498229750941455612172616771208,,37741629,
grafo10162.93.txt,155,1380,1.8287,16943723066030712130728,,725912,
grafo10164.98.txt,159,4860,2.9593,3832204204851047972904160,,581422,
grafo10171.99.txt,165,1055,42.0837,15378285083017458375052636984,,18259977,
grafo10173.97.txt,162,1258,,,,,
grafo10175.99.txt,157,657,1.5362,85388296714611191939078722512,,805524,
grafo10176.97.txt,164,1110,2.7088,110391653311181502378615222000,,1356606,
grafo10179.97.txt,165,1247,213.1659,3281797481363785678928469210,,,
grafo10184.100.txt,168,984,0.2002,774260303763303208390801489920,,139876,
grafo10195.99.txt,167,683,0.7429,190292079107394297194953680,,427960,
grafo10203.97.txt,152,748,0.0654,60240136444714215336356779770000,,54977,
