Instance,4_threads_time,4_threads_solutions,4_threads_max_blocks,8_threads_time,8_threads_solutions,8_threads_max_blocks
KentmanAug2005.txt,0.1109,756,4,0.1115,756,4
KentmanJan2011.txt,0.2040,3481920,11,0.1642,3481920,11
Kreonet.txt,0.0800,702000000,16,0.0646,702000000,16
LambdaNet.txt,5.9765,50668090200,6,6.0948,50668090200,6
Layer42.txt,0.1613,1248480,11,0.1455,1248480,11
Litnet.txt,0.1034,10000000,14,0.0942,10000000,14
Marwan.txt,0.2440,16250,6,0.2166,16250,6
Mren.txt,0.1388,1789952,11,0.1353,1789952,11
NetworkUsa.txt,0.0916,1058200000,16,0.0587,1058200000,16
Nordu1997.txt,0.0826,154000000,16,0.0630,154000000,16
Nsfnet.txt,0.1006,39270000,14,0.0628,39270000,14
Ntt.txt,0.3733,26000,6,0.2772,26000,6
Oteglobe.txt,0.0885,2560000,13,0.0875,2560000,13
Oxford.txt,0.2483,22100,6,0.2188,22100,6
Quest.txt,0.3031,1418300,7,0.2346,1418300,7
RedBestel.txt,0.1459,1827840,11,0.0909,1827840,11
Rediris.txt,0.2584,226746000,10,0.2293,226746000,10
Renater2001.txt,0.1563,1583550,10,0.1277,1583550,10
Restena.txt,0.8234,289562364,5,0.6610,289562364,5
Reuna.txt,0.5246,511056,9,0.3870,511056,9
RoedunetFibre.txt,0.3149,16875,6,0.2218,16875,6
Sago.txt,0.3266,20625,6,0.2542,20625,6
Savvis.txt,0.2540,18900,7,0.2636,18900,7
Singaren.txt,0.1411,1300500,11,0.1144,1300500,11
Surfnet.txt,0.9551,159849725,4,0.9327,159849725,4
SwitchL3.txt,0.2872,5225,4,0.2916,5225,4
Syringa.txt,0.3125,16875,7,0.2184,16875,7
TLex.txt,0.0719,14400000,15,0.0632,14400000,15
Telcove.txt,0.1106,86400000,13,0.0673,86400000,13
Ulaknet.txt,0.1105,1762560,10,0.0846,1762560,10
UniC.txt,0.0708,4320000,12,0.0688,4320000,12
Uninet.txt,0.0794,73500000,14,,,
Uninett2010.txt,0.0900,650,4,0.0891,650,4
Uninett2011.txt,0.2837,438750,9,0.2813,438750,9
Uran.txt,0.1026,250000000,16,0.0717,250000000,16
UsCarrier.txt,0.1930,4161600,10,0.1636,4161600,10
Uunet.txt,0.0784,13200000,15,0.0554,13200000,15
VtlWavenet2011.txt,0.0686,165880000,14,0.0450,165880000,14
WideJpn.txt,0.5433,45000,6,0.3254,45000,6
Xeex.txt,0.0589,326700000,16,0.0416,326700000,16
York.txt,0.1656,1111359488,11,0.1804,1111359488,11
Zamren.txt,0.0659,3700000,13,,,
grafo120.40.txt,0.5043,3286,5,0.4924,3286,5
grafo121.20.txt,0.0630,13000000,15,,,
grafo124.28.txt,2.8554,33926375,5,2.7426,33926375,5
grafo125.32.txt,0.0954,1320000,13,0.0794,1320000,13
grafo126.22.txt,0.1037,689700000,16,0.0812,689700000,16
grafo127.21.txt,0.6250,6482025,8,0.4912,6482025,8
grafo128.35.txt,0.1791,2995200,10,0.1577,2995200,10
grafo142.33.txt,0.1086,211200000,16,0.0685,211200000,16
grafo143.29.txt,0.2113,1152,4,0.2140,1152,4
grafo144.12.txt,0.0816,284544000,14,0.0537,284544000,14
grafo150.31.txt,0.6054,1397687500,9,0.6180,1397687500,9
grafo159.24.txt,0.2894,16900,7,0.2530,16900,7
grafo161.31.txt,0.4965,75600,6,0.3187,75600,6
grafo162.24.txt,0.0956,89812800,12,0.0829,89812800,12
grafo166.10.txt,0.1001,20000000,15,0.0734,20000000,15
grafo167.22.txt,0.1495,1566720,11,0.1333,1566720,11
grafo173.26.txt,0.1672,2894080,11,0.1370,2894080,11
grafo174.27.txt,0.3145,675,5,0.2377,675,5
grafo175.23.txt,0.2505,650,4,0.2469,650,4
grafo177.11.txt,0.1064,26730000,13,0.0892,26730000,13
grafo179.35.txt,0.3342,1644226560,11,0.3204,1644226560,11
grafo180.27.txt,0.3477,861250,9,0.2647,861250,9
grafo183.28.txt,0.1592,1044480,11,0.1364,1044480,11
grafo184.41.txt,0.0916,1540000,12,0.0824,1540000,12
grafo188.23.txt,0.2846,19375,7,0.2350,19375,7
grafo193.12.txt,0.0652,1210000,13,0.0525,1210000,13
grafo194.23.txt,0.2480,1225,4,0.2568,1225,4
grafo196.30.txt,0.3063,19375,7,0.2601,19375,7
grafo197.15.txt,0.1873,960,4,0.1877,960,4
grafo198.18.txt,0.4907,341656250,8,0.4319,341656250,8
grafo211.14.txt,0.1091,5280000,13,0.0709,5280000,13
grafo216.18.txt,0.1642,1575,5,0.1615,1575,5
grafo218.17.txt,0.0881,41140000,14,0.0539,41140000,14
grafo220.13.txt,0.6787,153125,7,0.4857,153125,7
grafo221.15.txt,0.0920,1000000,12,0.0754,1000000,12
grafo229.13.txt,0.1498,6057984,11,0.1471,6057984,11
grafo230.14.txt,0.0901,1560000,13,0.0607,1560000,13
grafo233.11.txt,0.2991,4605358680,11,0.2492,4605358680,11
grafo234.12.txt,0.1642,921600,10,0.1073,921600,10
grafo236.15.txt,0.2701,9475,5,0.2769,9475,5
grafo237.16.txt,0.2785,154387200,10,0.1901,154387200,10
grafo238.10.txt,0.0657,143070000,12,0.0617,143070000,12
grafo242.14.txt,0.2820,406250,8,0.1806,406250,8
grafo245.21.txt,0.2069,3465216,11,0.1537,3465216,11
grafo246.11.txt,0.1590,864000,11,0.1151,864000,11
grafo247.15.txt,0.0665,1210000,12,0.0479,1210000,12
grafo249.22.txt,0.5712,10693750,9,0.4185,10693750,9
grafo250.13.txt,0.3132,116532637200,10,0.2821,116532637200,10
grafo259.12.txt,0.3611,16900,6,0.2620,16900,6
grafo263.11.txt,0.2788,1297200,4,0.2752,1297200,4
grafo265.10.txt,0.0777,258720000,14,0.0748,258720000,14
grafo268.15.txt,0.0858,1694000,12,0.0804,1694000,12
grafo280.11.txt,1.1745,20872000,7,1.1485,20872000,7
grafo281.14.txt,0.0892,245025000,14,0.0563,245025000,14
grafo283.24.txt,0.2063,1404000,11,0.1413,1404000,11
grafo284.28.txt,0.2945,625,4,0.2943,625,4
grafo285.14.txt,0.2470,468750,8,0.2481,468750,8
grafo287.19.txt,0.2250,979200,11,0.1897,979200,11
grafo289.40.txt,0.0960,10912000,13,0.0716,10912000,13
grafo292.16.txt,0.7035,506081250,8,0.6280,506081250,8
grafo293.17.txt,0.1015,1400000,12,0.1027,1400000,12
grafo295.15.txt,0.1533,3300000,13,0.0963,3300000,13
grafo297.15.txt,0.1236,18150000,12,0.1036,18150000,12
grafo299.19.txt,0.0786,25300000,14,0.0570,25300000,14
grafo329.17.txt,0.1215,420000000,16,0.0755,420000000,16
grafo331.15.txt,0.6745,5420250,8,0.4935,5420250,8
grafo332.82.txt,0.2186,44800,7,0.2231,44800,7
grafo336.21.txt,0.1571,775,5,0.1535,775,5
grafo337.15.txt,0.1037,53010000,13,0.0736,53010000,13
