Instance,1_threads_time,1_threads_solutions,1_threads_max_blocks,2_threads_time,2_threads_solutions,2_threads_max_blocks,4_threads_time,4_threads_solutions,4_threads_max_blocks,8_threads_time,8_threads_solutions,8_threads_max_blocks
grafo10184.100.txt,0.7534,774260303763303208390801489920,,0.7525,774260303763303208390801489920,,0.7049,774260303763303208390801489920,,0.7083,774260303763303208390801489920,
grafo10195.99.txt,0.4871,190292079107394297194953680,,0.4876,190292079107394297194953680,,0.2039,190292079107394297194953680,,0.2204,190292079107394297194953680,
grafo10203.97.txt,0.2977,60240136444714215336356779770000,,0.2984,60240136444714215336356779770000,,0.1335,60240136444714215336356779770000,,0.1120,60240136444714215336356779770000,
grafo10204.100.txt,3.8252,29653634898146327380379042234220,,3.8236,29653634898146327380379042234220,,2.2578,29653634898146327380379042234220,,2.2338,29653634898146327380379042234220,
grafo10205.97.txt,0.2704,1047098415602374598602584000,,0.2711,1047098415602374598602584000,,0.0983,1047098415602374598602584000,,0.0955,1047098415602374598602584000,
grafo10207.98.txt,0.4850,407524009110382244942767825920,,0.4870,407524009110382244942767825920,,0.2905,407524009110382244942767825920,,0.2976,407524009110382244942767825920,
grafo10209.99.txt,0.9037,1778405443010598595931612784,,0.9023,1778405443010598595931612784,,0.6127,1778405443010598595931612784,,0.5907,1778405443010598595931612784,
grafo10215.93.txt,0.2288,4429033439896804903015219200,,0.2278,4429033439896804903015219200,,0.1336,4429033439896804903015219200,,0.1392,4429033439896804903015219200,
grafo10218.99.txt,20.6195,38667110457340255402658803488,,20.6033,38667110457340255402658803488,,14.6987,38667110457340255402658803488,,14.7100,38667110457340255402658803488,
grafo10220.97.txt,2.6513,1790803918795800975261000000,,2.6507,1790803918795800975261000000,,2.4678,1790803918795800975261000000,,2.4773,1790803918795800975261000000,
grafo10223.100.txt,1.6544,328837542685158315870007155,,1.6532,328837542685158315870007155,,1.5793,328837542685158315870007155,,1.5871,328837542685158315870007155,
grafo10237.100.txt,48.1308,56690839685714305150282092960,,48.1211,56690839685714305150282092960,,43.5847,56690839685714305150282092960,,43.5549,56690839685714305150282092960,
grafo10244.99.txt,2.8692,9063532329631820153122673664,,2.8635,9063532329631820153122673664,,1.8794,9063532329631820153122673664,,1.8943,9063532329631820153122673664,
grafo10250.100.txt,0.8661,114852967527687017594839695360,,0.8667,114852967527687017594839695360,,0.3830,114852967527687017594839695360,,0.4017,114852967527687017594839695360,
grafo10259.100.txt,26.6550,64165443845633858500762161900,,26.6777,64165443845633858500762161900,,23.4140,64165443845633858500762161900,,23.4274,64165443845633858500762161900,
grafo10262.100.txt,0.3119,6525746259024633846681600,,0.3120,6525746259024633846681600,,0.1843,6525746259024633846681600,,0.1767,6525746259024633846681600,
grafo10265.100.txt,0.2459,32094343893604867070884746240,,0.2468,32094343893604867070884746240,,0.1880,32094343893604867070884746240,,0.1828,32094343893604867070884746240,
grafo10266.94.txt,0.4153,110801121815568366975240,,0.4143,110801121815568366975240,,0.3238,110801121815568366975240,,0.3280,110801121815568366975240,
grafo10269.99.txt,1.6834,380480960212526987313930000,,1.6845,380480960212526987313930000,,1.0185,380480960212526987313930000,,1.0123,380480960212526987313930000,
grafo10273.97.txt,1.8648,33635956333383979125105139200,,1.8694,33635956333383979125105139200,,1.5910,33635956333383979125105139200,,1.5632,33635956333383979125105139200,
grafo10275.97.txt,8.2649,244644070413026379047679107760,,8.2673,244644070413026379047679107760,,7.2784,244644070413026379047679107760,,7.1779,244644070413026379047679107760,
grafo10288.95.txt,0.3049,67924110954574990800416160000,,0.3036,67924110954574990800416160000,,0.1344,67924110954574990800416160000,,0.1462,67924110954574990800416160000,
grafo10291.93.txt,1.6499,8089182960223746111277546359360,,1.6457,8089182960223746111277546359360,,1.4724,8089182960223746111277546359360,,1.4648,8089182960223746111277546359360,
grafo10292.100.txt,timeout,,,timeout,,,timeout,,,timeout,,
grafo10293.99.txt,0.3975,1189967169400391312521176624192,,0.3966,1189967169400391312521176624192,,0.2503,1189967169400391312521176624192,,0.2627,1189967169400391312521176624192,
grafo10297.98.txt,0.4258,5047361956059511058420258045952,,0.4268,5047361956059511058420258045952,,0.2557,5047361956059511058420258045952,,0.2617,5047361956059511058420258045952,
grafo10298.97.txt,0.3488,6411956755318891248938904345600,,0.3475,6411956755318891248938904345600,,0.1503,6411956755318891248938904345600,,0.1322,6411956755318891248938904345600,
grafo10303.96.txt,0.4074,336623282871798635541043488000,,0.4075,336623282871798635541043488000,,0.1758,336623282871798635541043488000,,0.1937,336623282871798635541043488000,
grafo10305.100.txt,1.0481,292616449355000172969265830912,,1.0462,292616449355000172969265830912,,0.5047,292616449355000172969265830912,,0.5246,292616449355000172969265830912,
grafo10318.98.txt,2.8337,160075764596308430431394162528,,2.8326,160075764596308430431394162528,,2.3914,160075764596308430431394162528,,2.4030,160075764596308430431394162528,
grafo10325.96.txt,24.9384,1515397275158045792571669607425,,24.9181,1515397275158045792571669607425,,24.2582,1515397275158045792571669607425,,24.1915,1515397275158045792571669607425,
grafo10327.97.txt,0.5641,6668191872233180852367168,,0.5650,6668191872233180852367168,,0.4197,6668191872233180852367168,,0.4224,6668191872233180852367168,
grafo10339.95.txt,6.4358,154016948980994323270086040,,6.4323,154016948980994323270086040,,5.1431,154016948980994323270086040,,5.1723,154016948980994323270086040,
grafo10346.97.txt,3.4003,85352803321813705564434487680,,3.4073,85352803321813705564434487680,,3.5007,85352803321813705564434487680,,3.4954,85352803321813705564434487680,
grafo10351.97.txt,9.5087,3038891642273243664196962750,,9.5059,3038891642273243664196962750,,9.2815,3038891642273243664196962750,,9.2903,3038891642273243664196962750,
grafo10353.99.txt,3.6721,577765059452569037115956736,,3.6790,577765059452569037115956736,,2.5957,577765059452569037115956736,,2.6170,577765059452569037115956736,
grafo10354.99.txt,0.4419,2635922965070113457943960,,0.4433,2635922965070113457943960,,0.2578,2635922965070113457943960,,0.2642,2635922965070113457943960,
grafo10359.95.txt,23.8135,21232201433844641535018326254080,,23.8299,21232201433844641535018326254080,,25.0835,21232201433844641535018326254080,,25.0792,21232201433844641535018326254080,
grafo10362.94.txt,1.9089,13439932228370461283870400,,1.9046,13439932228370461283870400,,1.4209,13439932228370461283870400,,1.4416,13439932228370461283870400,
grafo10365.97.txt,26.7268,25575653156019543270406020,,26.6845,25575653156019543270406020,,23.4150,25575653156019543270406020,,23.4419,25575653156019543270406020,
grafo10369.100.txt,0.4286,162269574458684398363738080,,0.4271,162269574458684398363738080,,0.2438,162269574458684398363738080,,0.2475,162269574458684398363738080,
grafo10382.94.txt,timeout,,,timeout,,,timeout,,,timeout,,
grafo10383.99.txt,8.4103,48590625751332512262533280,,8.4078,48590625751332512262533280,,5.4500,48590625751332512262533280,,5.4710,48590625751332512262533280,
grafo10387.97.txt,0.1416,928110106585327508832600,,0.1419,928110106585327508832600,,0.0734,928110106585327508832600,,0.0615,928110106585327508832600,
grafo10388.95.txt,1.1233,100871271571286563976946948624,,1.1235,100871271571286563976946948624,,0.4538,100871271571286563976946948624,,0.4816,100871271571286563976946948624,
