instance,Dyn_time,Dyn_cc_cpu_time,DXD_time,DXD_cc_cpu_time
dominoes_10x10,0.028018,0.000145,0.163836,0.125709
dominoes_10x12,0.039890,0.000109,0.262436,0.203809
dominoes_12x12,0.196351,0.000141,1.320162,1.035813
dominoes_8x10,0.006801,0.000080,0.031879,0.024246
dominoes_8x8,0.004992,0.000130,0.018852,0.013981
tetrominoes_4x5,0.113380,0.005077,0.006401,0.004611
tetrominoes_4x7,0.301984,0.009417,0.022825,0.017463
tetrominoes_6x6,1.127949,0.021268,0.921474,0.703456
tetrominoes_6x8,4.559413,0.032105,11.494758,8.982330
