Instance,#cols,#rows,MDLX,Solutions,Max Blocks,|ZDD|,|DNNF|
grafo11324.100.txt,171,1233,15.7433,560387610526314185205659607711744,11,,
grafo11335.100.txt,162,778,6.3270,61471332725994635285503002432000,12,,
grafo11369.96.txt,,,TO,,,,
grafo11458.100.txt,160,945,228.3347,32929161513245347400780796768,16,,
grafo11469.96.txt,159,749,113.8196,165728243199277045297920000,13,,
grafo11546.97.txt,160,797,7.0918,75444469155251576685056404800,9,,
grafo11569.93.txt,155,990,18.2230,4844612865840488301571200,13,,
grafo3224.98.txt,,,TO,,,,
grafo3435.99.txt,167,2102,56.3950,652148706592030102138027610622720,11,,
grafo3532.99.txt,161,760,1.2510,28327450894599629841700806720,9,,
grafo3680.99.txt,168,1206,9.1029,2149519026657629741871667680000,10,,
grafo3712.95.txt,149,644,2.9426,5258623445171291339393040,12,,
grafo3861.99.txt,153,726,9.0965,16121448104607716575683640617648,8,,
grafo3890.96.txt,167,832,TO,,,,
grafo3898.99.txt,170,2091,206.1978,45437908753940371061101014897360,11,,
grafo3979.98.txt,166,896,1.2276,423904573438761629195520,13,,
grafo3995.97.txt,158,1160,4.6350,5931077209549283555589214132590240,11,,
grafo4091.99.txt,167,1879,113.8549,32508414237190114299136803240960,12,,
grafo6562.98.txt,162,722,0.3262,236273893424318395676761226496,9,,
grafo6625.99.txt,156,672,30.8999,1337161524838599745621440,15,,
grafo6975.39.txt,174,1113,5.2716,320039444695988826981559487100000,10,,
grafo7221.99.txt,152,644,0.4897,1525888907338681754882536320000,8,,
grafo7263.99.txt,162,1775,955.4752,4898247703830220765158946176,14,,
grafo7417.39.txt,161,700,1.1112,413427890976458123248101187541280000,10,,
grafo7785.100.txt,163,819,5.4498,557646274243607696621728263360,14,,
grafo7797.100.txt,167,2533,32.3215,18087494243875214914061634240,13,,
grafo7907.80.txt,134,720,21.1722,56046368067982192880179200,9,,
grafo7936.89.txt,,,TO,,,,
grafo8008.95.txt,161,1051,7.8749,2836630049700547381881600,12,,
grafo8127.78.txt,126,537,0.1102,66208157321355098849280,8,,
grafo8198.99.txt,161,718,2.9158,649388601659380264242499152000,10,,
grafo8223.99.txt,151,647,0.9336,334422330310025516401710173429760,8,,
grafo8373.100.txt,170,787,6.7183,742658646888847672838471232000,13,,
grafo8478.98.txt,170,807,350.6845,12250781027964153710065548,16,,
grafo8490.95.txt,167,3772,TO,,,,
grafo8510.100.txt,163,953,9.1714,2522290965851353756626557847360,10,,
grafo8513.100.txt,167,2092,TO,,,,
grafo8549.100.txt,,,TO,,,,
grafo8566.98.txt,154,1176,16.6193,33675447534980819354777573856,11,,
grafo8571.94.txt,148,922,29.7938,60036648006230924769664308000,11,,
grafo8673.98.txt,158,1536,20.7778,3665987126814610816771132800,13,,
grafo8674.100.txt,166,1120,21.0243,4411819550965378162337392234383360,9,,
grafo8719.93.txt,154,3309,TO,,,,
grafo8739.99.txt,168,1578,26.0019,3376726709558271550550300000,11,,
grafo8777.98.txt,158,645,1.0755,527114627133616421733651616800,9,,
grafo8780.96.txt,168,1228,10.3450,106865700460093439124794247168,13,,
grafo8791.94.txt,160,883,329.9827,41589594170975930336399016,14,,
grafo8793.100.txt,166,652,12.1834,6290998565958574189476048,10,,
grafo8805.80.txt,,,TO,,,,
grafo8812.99.txt,,,TO,,,,
grafo8823.93.txt,151,1240,4.4290,2471867976793564523950612320,13,,
grafo8826.100.txt,162,848,2.7513,1834705985117148849612007324569600,10,,
grafo8857.99.txt,167,1042,24.6079,313543526986779746908720331250,11,,
grafo8864.98.txt,172,1086,46.9867,1950049320147521882078400,11,,
grafo8865.100.txt,166,3081,TO,,,,
grafo8867.97.txt,165,958,TO,,,,
grafo8882.100.txt,162,841,32.8220,60433143070321573071599902510800,11,,
grafo8892.100.txt,157,546,2.1086,156239009903443337640000,11,,
