Instance,#cols,#rows,MDLX,Solutions,Max Blocks,|ZDD|,|DNNF|
AsnetAm.txt,102,928,5.1871,20064184773096211440000,9,,
AttMpls.txt,34,124,0.0948,138690000,6,,
Bellcanada.txt,85,934,11.3828,1366309453307994000,11,,
Bellsouth.txt,84,678,0.8736,794988832250372760,12,,
BeyondTheNetwork.txt,75,928,1.7311,7960497608448,12,,
BtNorthAmerica.txt,55,250,0.0376,17798747645952,8,,
Cernet.txt,56,237,0.0206,13037563816704,6,,
Cesnet200706.txt,42,283,1.4326,14399767872,7,,
Cesnet201006.txt,41,188,0.0163,61223500800,5,,
Chinanet.txt,34,135,0.0047,7691190,5,,
Cogentco.txt,,,TO,,,,
Colt.txt,,,TO,,,,
Columbus.txt,125,715,20.1065,7165051704986651567,13,,
Cudi.txt,71,468,0.6530,9995373489286260,6,,
Deltacom.txt,193,955,24.5794,3951934041188949052559872439407542961305600,13,,
DeutscheTelekom.txt,68,283,0.0294,1569482805945600,7,,
Dfn.txt,93,394,0.1802,164585098635804000,10,,
DialtelecomCz.txt,246,1810,407.9808,20368774221577457181929824667570199495600,14,,
Esnet.txt,,,TO,,,,
Forthnet.txt,84,414,39.1927,29464511615072976,13,,
Garr200902.txt,70,305,0.0724,7824905716064400,7,,
Garr200908.txt,67,312,0.0601,463471976167200,8,,
Garr200909.txt,73,272,0.0314,622464874416000,8,,
Garr200912.txt,69,374,0.0954,2122763494916064,6,,
Garr201001.txt,82,333,0.0434,4162117365182599680,8,,
Garr201003.txt,72,313,0.1761,39991147739136,6,,
Garr201004.txt,92,2459,40.3965,2825001498839593800,13,,
Garr201005.txt,81,319,0.1700,7087148919474624,8,,
Garr201007.txt,85,643,3.0755,5336270947998010944,9,,
Garr201008.txt,69,352,0.1228,388166930756280,6,,
Garr201010.txt,93,1682,18.9171,148027474414443820,13,,
Garr201012.txt,83,376,0.3330,97131756402639000,6,,
Garr201101.txt,83,4082,86.0591,2733651895783360,15,,
Garr201102.txt,74,389,0.2249,289496337962113800,6,,
Garr201103.txt,93,607,0.3550,188664499520640000,10,,
Garr201104.txt,91,583,0.7340,16136087602223714400,8,,
Garr201105.txt,78,464,0.6544,1513246451090613120,6,,
Garr201107.txt,91,499,1.4895,936844463116800,11,,
Garr201108.txt,84,404,0.1853,12012866735768260800,8,,
Garr201109.txt,89,561,0.5677,132270243712681500,11,,
Garr201110.txt,78,413,0.1929,14056537029740766,9,,
Garr201111.txt,86,463,0.6624,5792755250563929648,8,,
Garr201112.txt,89,1483,20.3651,374638307489310900,14,,
Garr201201.txt,78,489,0.2213,503920288213159104,10,,
Geant2009.txt,55,322,1.8199,405899646567480,7,,
Geant2010.txt,68,378,0.4651,49350233892960,7,,
Geant2012.txt,62,312,0.1653,8453062741836,7,,
Globenet.txt,127,1176,7.5825,3614360512588884541440,14,,
GtsCe.txt,,,TO,,,,
HiberniaGlobal.txt,105,851,21.0391,2074561928035084800000,10,,
Highwinds.txt,29,123,0.0167,2620625,7,,
Iij.txt,48,352,10.7842,74717787200,8,,
Intellifiber.txt,,,TO,,,,
Internode.txt,66,473,1.0835,656798976200400,9,,
Interoute.txt,152,766,0.5523,92298128982085591042551065289360000,12,,
Intranetwork.txt,73,337,0.0471,33747703235280000,7,,
Ion.txt,,,TO,,,,
Iris.txt,82,278,0.0195,71342977305600000,8,,
Kdl.txt,,,TO,,,,
Latnet.txt,106,501,0.5555,304291353642490026193920,9,,
Missouri.txt,109,430,0.2077,57105820983404196432000,8,,
Ntelos.txt,78,370,0.0518,12204588447222183936,8,,
Ntt.txt,40,210,0.0361,8386993056,5,,
Oteglobe.txt,151,809,3.1444,58932142778298816678592512000,9,,
Palmetto.txt,69,285,0.0217,873985074811200,7,,
Pern.txt,64,392,0.1247,768839913291780,6,,
PionierL3.txt,65,279,0.7332,11411355795840,6,,
RedBestel.txt,150,839,7.5062,1619510434492756271902713446400,9,,
Renater2010.txt,69,306,0.0318,54096125107736880,7,,
RoedunetFibre.txt,69,250,0.0194,621254814919200,7,,
Sinet.txt,66,1545,0.9407,15071837050368,14,,
Surfnet.txt,88,611,4.6054,3342855333091997118,7,,
Switch.txt,120,634,1.5863,2279438093318474291882336,8,,
SwitchL3.txt,54,226,0.0132,2814573775104,6,,
Syringa.txt,126,683,19.4896,10089788438219191257523968000,9,,
TataNld.txt,247,1196,7.3050,116699270316984507028179654846752222085120000,12,,
Telcove.txt,113,1655,5.7587,74165451814712814103255500,11,,
Tinet.txt,94,548,1.2535,13027376900512716134400,7,,
Tw.txt,126,868,1.4383,3790029909358778736510720000,10,,
Ulaknet.txt,84,2437,6.8591,756492510715200,13,,
Uninett2010.txt,138,1439,27.3526,120545239248463249868042304,10,,
Uninett2011.txt,,,TO,,,,
