Instance,#cols,#rows,DLX,DXZ,D3X,DXD_S,DXD_M,IDXD_S,IDXD_M,MDLX,sharpSAT-TD,ExactMC,Solutions,Max Blocks,|ZDD|,|DNNF|
grafo10083.38.txt,,,0.0075,,,,,,,,,,18,,,
grafo10085.35.txt,,,0.0050,,,,,,,,,,17,,,
grafo10086.34.txt,,,0.0031,,,,,,,,,,8,,,
grafo10087.39.txt,,,0.0079,,,,,,,,,,86,,,
grafo10088.39.txt,,,0.0039,,,,,,,,,,4,,,
grafo10089.37.txt,,,0.0035,,,,,,,,,,2,,,
grafo10133.32.txt,,,0.0052,,,,,,,,,,16,,,
grafo10134.33.txt,,,0.0024,,,,,,,,,,3,,,
grafo10135.35.txt,,,0.0029,,,,,,,,,,4,,,
grafo10136.39.txt,,,0.0025,,,,,,,,,,3,,,
grafo10137.36.txt,,,0.0018,,,,,,,,,,2,,,
grafo10138.33.txt,,,0.0032,,,,,,,,,,12,,,
grafo10140.40.txt,,,0.0064,,,,,,,,,,5,,,
grafo10141.38.txt,,,0.0029,,,,,,,,,,8,,,
grafo10142.37.txt,,,0.0057,,,,,,,,,,16,,,
grafo1018.29.txt,,,0.0031,,,,,,,,,,3,,,
grafo10185.32.txt,,,0.0018,,,,,,,,,,21,,,
grafo10186.39.txt,,,0.0035,,,,,,,,,,15,,,
grafo10187.33.txt,,,0.0090,,,,,,,,,,56,,,
grafo10188.38.txt,,,0.0056,,,,,,,,,,6,,,
grafo10189.38.txt,,,0.0043,,,,,,,,,,7,,,
grafo10190.34.txt,,,0.0035,,,,,,,,,,3,,,
grafo10191.34.txt,,,0.0027,,,,,,,,,,23,,,
grafo10192.39.txt,,,0.0033,,,,,,,,,,59,,,
grafo10193.38.txt,,,0.0049,,,,,,,,,,15,,,
grafo10229.36.txt,,,0.0035,,,,,,,,,,12,,,
grafo10230.37.txt,,,0.0020,,,,,,,,,,2,,,
grafo10231.32.txt,,,0.0028,,,,,,,,,,9,,,
grafo10232.37.txt,,,0.0022,,,,,,,,,,5,,,
grafo10233.34.txt,,,0.0030,,,,,,,,,,4,,,
