Instance,#cols,#rows,DLX,DXZ,D3X,DXD_S,DXD_M,IDXD_S,IDXD_M,MDLX,SharpSAT-TD,ExactMC,#sols,#Max_B,zdd_compile(s),cnf_compile(s)
grafo161.31,287,2039,,,,,,,,,,,,,0.164942,
grafo162.24,594,1723,,,,,,,,,,,,,0.251292,
grafo166.10,811,2162,,,,,,,,,,,,,0.51628,
grafo167.22,492,2022,,,,,,,,,,,,,0.266831,
grafo173.26,508,2152,,,,,,,,,,,,,0.295537,
grafo174.27,318,1281,,,,,,,,,,,,,0.159562,
grafo175.23,199,1470,,,21.8887,,,,,,,,,,0.130915,
grafo177.11,640,1742,,,,,,,,,,,,,0.280123,
grafo179.35,488,2206,,,,,,,,,,,,,0.288695,
grafo180.27,418,2307,,,,,,,,,,,,,0.3211,
grafo183.28,655,2266,,,,,,,,,,,,,0.564894,
grafo184.41,631,1756,,,,,,,,,,,,,0.356166,
grafo188.23,369,1816,,,,,,,,,,,,,0.233034,
grafo193.12,644,1666,,,,,,,,,,,,,0.316609,
grafo194.23,168,1292,,,,,,,,,,,,,0.075354,
grafo196.30,430,2097,,,,,,,,,,,,,0.29045,
grafo197.15,205,1260,,,12.7785,,,,,,,,,,0.079231,
grafo198.18,375,1987,,,,,,,,,,,,,0.246055,
grafo211.14,622,1828,,,,,,,,,,,,,0.318171,
grafo216.18,248,1265,,,,,,,,,,,,,0.11185,
grafo218.17,670,2032,,,,,,,,,,,,,0.354857,
grafo220.13,282,2353,,,,,,,,,,,,,0.21021,
grafo221.15,612,1908,,,,,,,,,,,,,0.363963,
grafo229.13,595,1994,,,,,,,,,,,,,0.331122,
grafo230.14,743,1821,,,,,,,,,,,,,0.407475,
grafo233.11,583,2143,,,timeout,,,,,,,,,,0.309281,
grafo234.12,516,2067,,,,,,,,,,,,,0.366804,
grafo236.15,230,1205,,,,,,,,,,,,,0.107613,
grafo237.16,470,2294,,,,,,,,,,,,,0.339817,
grafo238.10,622,1518,,,,,,,,,,,,,0.241816,
grafo242.14,441,2294,,,,,,,,,,,,,0.321384,
grafo245.21,549,2367,,,timeout,,,,,,,,,,0.384887,
grafo246.11,648,2100,,,,,,,,,,,,,0.461968,
grafo247.15,619,1675,,,timeout,,,,,,,,,,0.29098,
grafo249.22,461,2480,,,,,,,,,,,,,0.362903,
grafo250.13,554,1926,,,,,,,,,,,,,0.315531,
grafo259.12,331,1976,,,,,,,,,,,,,0.262187,
grafo263.11,215,864,,,,,,,,,,,,,0.056956,
grafo265.10,648,2128,,,,,,,,,,,,,0.354648,
grafo268.15,607,1625,,,,,,,,,,,,,0.275818,
grafo280.11,320,1862,,,,,,,,,,,,,0.162845,
grafo281.14,746,1967,,,timeout,,,,,,,,,,0.428978,
grafo283.24,593,2128,,,,,,,,,,,,,0.367621,
grafo284.28,258,1382,,,,,,,,,,,,,0.166046,
grafo285.14,466,2232,,,,,,,,,,,,,0.396102,
grafo287.19,657,2124,,,,,,,,,,,,,0.54513,
grafo289.40,570,1793,,,,,,,,,,,,,0.261031,
grafo292.16,367,2511,,,timeout,,,,,,,,,,0.297309,
grafo293.17,651,1704,,,timeout,,,,,,,,,,0.337018,
grafo295.15,695,2117,,,,,,,,,,,,,0.493242,
grafo297.15,632,1746,,,,,,,,,,,,,0.318614,
grafo299.19,651,1947,,,,,,,,,,,,,0.341316,
grafo329.17,941,2191,,,,,,,,,,,,,0.658715,
grafo331.15,390,2667,,,timeout,,,,,,,,,,0.339057,
grafo332.82,334,1806,,,596.8238,,,,,,,,,,0.19999,
grafo336.21,224,1089,,,,,,,,,,,,,0.070689,
grafo337.15,591,1902,,,,,,,,,,,,,0.248581,
