Instance,#cols,#rows,DLX,DXZ,D3X,DXD_S,DXD_M,IDXD_S,IDXD_M,MDLX,sharpSAT-TD,ExactMC,Solutions,Max Blocks
Darkstrand.txt,,,,,,,0.0133,,,,,,17280,25
Dataxchange.txt,,,,,,,0.0110,,,,,,9144576,20
Deltacom.txt,,,,,,,0.0108,,,,,,544320,19
DeutscheTelekom.txt,,,,,,,0.0125,,,,,,3870720,18
Dfn.txt,,,,,,,0.0121,,,,,,5248800,19
DialtelecomCz.txt,,,,,,,0.0122,,,,,,622080,22
Digex.txt,,,,,,,0.0135,,,,,,31933440,24
Easynet.txt,,,,,,,0.0132,,,,,,72576000,17
Eenet.txt,,,,,,,0.0119,,,,,,1354752,24
EliBackbone.txt,,,,,,,0.0117,,,,,,3096576,20
Epoch.txt,,,,,,,0.0121,,,,,,331776,19
Ernet.txt,,,,,,,0.0141,,,,,,51978240,17
Esnet.txt,,,,,,,0.0134,,,,,,645120,18
Eunetworks.txt,,,,,,,0.0128,,,,,,93312,23
Evolink.txt,,,,,,,0.0120,,,,,,8467200,17
Fatman.txt,,,,,,,0.0136,,,,,,232243200,19
Fccn.txt,,,,,,,0.0121,,,,,,17418240,22
Forthnet.txt,,,,,,,0.0129,,,,,,36495360,17
Funet.txt,,,,,,,0.0121,,,,,,5971968,19
Gambia.txt,,,,,,,0.0125,,,,,,17280000,25
Garr199901.txt,,,,,,,0.0142,,,,,,29030400,21
Garr199904.txt,,,,,,,0.0120,,,,,,1622016,21
Garr199905.txt,,,,,,,0.0118,,,,,,165888,18
Garr200109.txt,,,,,,,0.0131,,,,,,139968000,18
Garr200112.txt,,,,,,,0.0125,,,,,,8294400,20
Garr200212.txt,,,,,,,0.0146,,,,,,65536000,25
Garr200404.txt,,,,,,,0.0126,,,,,,1404000,19
Garr200902.txt,,,,,,,0.0137,,,,,,1839366144,19
Garr200908.txt,,,,,,,0.0112,,,,,,46080,22
Garr200909.txt,,,,,,,0.0144,,,,,,33251917824,15
