Instance,#cols,#rows,DLX,DXZ,D3X,DXD_S,DXD_M,IDXD_S,IDXD_M,MDLX,sharpSAT-TD,ExactMC,Solutions,Max Blocks
Darkstrand.txt,,,,,,,,,0.0051,,,,17280,25
Dataxchange.txt,,,,,,,,,0.0048,,,,9144576,20
Deltacom.txt,,,,,,,,,0.0046,,,,544320,19
DeutscheTelekom.txt,,,,,,,,,0.0047,,,,3870720,18
Dfn.txt,,,,,,,,,0.0046,,,,5248800,19
DialtelecomCz.txt,,,,,,,,,0.0047,,,,622080,22
Digex.txt,,,,,,,,,0.0058,,,,31933440,24
Easynet.txt,,,,,,,,,0.0055,,,,72576000,17
Eenet.txt,,,,,,,,,0.0050,,,,1354752,24
EliBackbone.txt,,,,,,,,,0.0045,,,,3096576,20
Epoch.txt,,,,,,,,,0.0045,,,,331776,19
Ernet.txt,,,,,,,,,0.0048,,,,51978240,17
Esnet.txt,,,,,,,,,0.0048,,,,645120,18
Eunetworks.txt,,,,,,,,,0.0045,,,,93312,23
Evolink.txt,,,,,,,,,0.0052,,,,8467200,17
Fatman.txt,,,,,,,,,0.0049,,,,232243200,19
Fccn.txt,,,,,,,,,0.0046,,,,17418240,22
Forthnet.txt,,,,,,,,,0.0050,,,,36495360,17
Funet.txt,,,,,,,,,0.0053,,,,5971968,19
Gambia.txt,,,,,,,,,0.0047,,,,17280000,25
Garr199901.txt,,,,,,,,,0.0052,,,,29030400,21
Garr199904.txt,,,,,,,,,0.0053,,,,1622016,21
Garr199905.txt,,,,,,,,,0.0047,,,,165888,18
Garr200109.txt,,,,,,,,,0.0048,,,,139968000,18
Garr200112.txt,,,,,,,,,0.0051,,,,8294400,20
Garr200212.txt,,,,,,,,,0.0066,,,,65536000,25
Garr200404.txt,,,,,,,,,0.0045,,,,1404000,19
Garr200902.txt,,,,,,,,,0.0045,,,,1839366144,19
Garr200908.txt,,,,,,,,,0.0046,,,,46080,22
Garr200909.txt,,,,,,,,,0.0052,,,,33251917824,15
