Instance,#cols,#rows,DLX,DXZ,D3X,DXD_S,DXD_M,IDXD_S,IDXD_M,MDLX,sharpSAT-TD,ExactMC,Solutions,Max Blocks
Darkstrand.txt,,,,,,,,0.0024,,,,,17280,25
Dataxchange.txt,,,,,,,,0.0020,,,,,9144576,20
Deltacom.txt,,,,,,,,0.0020,,,,,544320,19
DeutscheTelekom.txt,,,,,,,,0.0027,,,,,3870720,18
Dfn.txt,,,,,,,,0.0025,,,,,5248800,19
DialtelecomCz.txt,,,,,,,,0.0022,,,,,622080,22
Digex.txt,,,,,,,,0.0026,,,,,31933440,24
Easynet.txt,,,,,,,,0.0028,,,,,72576000,17
Eenet.txt,,,,,,,,0.0023,,,,,1354752,24
EliBackbone.txt,,,,,,,,0.0024,,,,,3096576,20
Epoch.txt,,,,,,,,0.0026,,,,,331776,19
Ernet.txt,,,,,,,,0.0026,,,,,51978240,17
Esnet.txt,,,,,,,,0.0032,,,,,645120,18
Eunetworks.txt,,,,,,,,0.0026,,,,,93312,23
Evolink.txt,,,,,,,,0.0025,,,,,8467200,17
Fatman.txt,,,,,,,,0.0029,,,,,232243200,19
Fccn.txt,,,,,,,,0.0028,,,,,17418240,22
Forthnet.txt,,,,,,,,0.0030,,,,,36495360,17
Funet.txt,,,,,,,,0.0024,,,,,5971968,19
Gambia.txt,,,,,,,,0.0025,,,,,17280000,25
Garr199901.txt,,,,,,,,0.0032,,,,,29030400,21
Garr199904.txt,,,,,,,,0.0028,,,,,1622016,21
Garr199905.txt,,,,,,,,0.0023,,,,,165888,18
Garr200109.txt,,,,,,,,0.0026,,,,,139968000,18
Garr200112.txt,,,,,,,,0.0027,,,,,8294400,20
Garr200212.txt,,,,,,,,0.0030,,,,,65536000,25
Garr200404.txt,,,,,,,,0.0025,,,,,1404000,19
Garr200902.txt,,,,,,,,0.0027,,,,,1839366144,19
Garr200908.txt,,,,,,,,0.0021,,,,,46080,22
Garr200909.txt,,,,,,,,0.0030,,,,,33251917824,15
