Instance,#cols,#rows,DLX,DXZ,D3X,DXD_S,DXD_M,IDXD_S,IDXD_M,MDLX,sharpSAT-TD,ExactMC,Solutions,Max Blocks,|ZDD|,|DNNF|
grafo10083.38.zdd,,,,,0.0066,,,,,,,,,,,
grafo10085.35.zdd,,,,,0.0062,,,,,,,,,,,
grafo10086.34.zdd,,,,,0.0038,,,,,,,,,,,
grafo10087.39.zdd,,,,,0.0068,,,,,,,,,,,
grafo10088.39.zdd,,,,,0.0036,,,,,,,,,,,
grafo10089.37.zdd,,,,,0.0043,,,,,,,,,,,
grafo10133.32.zdd,,,,,0.0050,,,,,,,,,,,
grafo10134.33.zdd,,,,,0.0029,,,,,,,,,,,
grafo10135.35.zdd,,,,,0.0033,,,,,,,,,,,
grafo10136.39.zdd,,,,,0.0026,,,,,,,,,,,
grafo10137.36.zdd,,,,,0.0022,,,,,,,,,,,
grafo10138.33.zdd,,,,,0.0039,,,,,,,,,,,
grafo10140.40.zdd,,,,,0.0047,,,,,,,,,,,
grafo10141.38.zdd,,,,,0.0033,,,,,,,,,,,
grafo10142.37.zdd,,,,,0.0052,,,,,,,,,,,
grafo1018.29.zdd,,,,,0.0029,,,,,,,,,,,
grafo10185.32.zdd,,,,,0.0021,,,,,,,,,,,
grafo10186.39.zdd,,,,,0.0028,,,,,,,,,,,
grafo10187.33.zdd,,,,,0.0062,,,,,,,,,,,
grafo10188.38.zdd,,,,,0.0057,,,,,,,,,,,
grafo10189.38.zdd,,,,,0.0036,,,,,,,,,,,
grafo10190.34.zdd,,,,,0.0045,,,,,,,,,,,
grafo10191.34.zdd,,,,,0.0027,,,,,,,,,,,
grafo10192.39.zdd,,,,,0.0033,,,,,,,,,,,
grafo10193.38.zdd,,,,,0.0058,,,,,,,,,,,
grafo10229.36.zdd,,,,,0.0038,,,,,,,,,,,
grafo10230.37.zdd,,,,,0.0022,,,,,,,,,,,
grafo10231.32.zdd,,,,,0.0028,,,,,,,,,,,
grafo10232.37.zdd,,,,,0.0024,,,,,,,,,,,
grafo10233.34.zdd,,,,,0.0038,,,,,,,,,,,
