SharpSAT-TD求解器实验结果
文件名,运行时间(秒),模型计数
grafo3924.72,224.061508184,119884375
grafo3926.77,294.151796405,594658500
grafo3928.57,238.062985307,46442218125
grafo3930.46,204.232606434,680400
grafo3933.71,249.032370722,2049230200
grafo3934.68,106.966143431,21250
grafo3941.49,305.127704634,8671875
grafo3946.29,82.729789358,16875
grafo3948.56,52.196797352,625
grafo3953.85,30.336908883,650
grafo3955.34,205.015073989,1403730900
grafo3957.28,189.188317683,20625
grafo3962.86,177.106126243,750
grafo3963.11,221.543356005,96544648200
grafo3966.98,286.62628417,585886830750
grafo3967.83,97.38234921999999,523125
grafo3968.58,76.544405911,700
grafo3969.50,244.105866503,14062500
grafo3971.17,206.620963718,3548199900
grafo3972.93,427.812936802,6397951345154541900
grafo397.80,213.917955522,484375
grafo3978.44,138.1539005,1269
grafo3980.12,27.942501975,975
grafo3986.13,102.168901934,16335
grafo398.73,195.537859617,16875
grafo3987.62,217.020237748,32500
grafo3990.27,76.95692566300001,16900
grafo3991.21,321.758237952,17268510000
grafo3993.33,298.150614739,403707163200
grafo3996.89,119.664862603,15625
grafo3998.50,261.861763024,136762500
grafo3999.88,198.415341847,390625
grafo4006.66,203.124139823,22854192
grafo4008.96,246.236486431,328651200
grafo4010.20,301.51670039,61781250
grafo4011.91,126.480643375,41827500
grafo4012.86,150.143991403,6109760
grafo4017.28,123.299134633,9765625
grafo4018.100,258.758220965,27920256
grafo4019.63,211.824102797,468750
grafo4020.29,281.46403029,669900
grafo4021.32,159.210544647,1925
grafo4023.39,335.951668988,759704929678350
grafo4024.11,57.390799767,625
grafo4029.55,157.581808052,48125
grafo4030.18,218.791961122,16485425
grafo4035.10,20.107944611,625
grafo4037.24,65.94029311600001,15625
grafo4041.54,185.231385551,31073250
grafo4045.88,42.623818521,625
grafo4046.82,241.647335071,20930000
grafo4050.14,142.133083112,390625
grafo4054.80,197.980943257,987000
grafo405.67,17.675210903,675
grafo4056.95,193.689820615,750
grafo4063.29,166.257026639,700
grafo406.42,286.304342697,510125000
grafo4066.33,155.789932287,921200
grafo407.85,162.122443736,2083125
grafo4078.86,93.22472098599999,4250
grafo4081.11,39.054540976,625
grafo4086.64,171.323870838,5050
grafo4090.99,279.793828221,93509761800
grafo4093.92,321.869168633,804544650
grafo4095.72,177.761813273,18125
grafo4097.92,317.47159431,2945775000
grafo4100.65,38.503252764,625
grafo4102.55,193.879649103,20412
grafo4104.79,30.606947016,3255
grafo4105.66,216.363510227,383011200
grafo4110.69,44.546823038,825
grafo4111.41,315.78204649,7611646250
grafo4112.12,127.135669438,1418750
grafo411.92,229.516917396,255450000
grafo4122.93,280.669577943,30466800
grafo4133.48,199.62917094,526500
grafo4140.87,334.80459951,302211827896875
grafo4146.91,186.719864591,18850
grafo4150.13,92.477850915,675
grafo4151.55,270.151700846,21312500
grafo4154.78,32.563792985,725
grafo4158.23,70.305713912,18200
grafo4159.38,301.615658382,16962694700
grafo4161.95,313.929057056,47449921875
grafo4165.45,219.276534352,552191600
grafo4166.19,188.715435211,22100
grafo4173.34,129.976620536,20200050
grafo4174.83,199.696218814,311850
grafo417.50,235.739708649,983031250
grafo4179.83,212.555150428,413547525
grafo4181.17,240.681356828,50895000
grafo4182.75,134.337728811,245175468
grafo4185.45,182.582093322,18125
grafo418.86,71.048858053,650
grafo4188.76,259.165354386,62370000
grafo4189.27,222.918916897,15187500
grafo4192.68,134.948670674,21937500
grafo419.47,245.945018715,90200
grafo4196.99,317.775629337,94867500
grafo4197.76,250.440500503,4627950775
grafo4202.93,285.80292328,15234425
grafo420.31,169.413032007,850
grafo4206.82,154.839687651,175225
grafo4210.64,303.209683892,4792921875
grafo4214.49,256.550013708,4078750
grafo4216.55,199.68969214,438750
grafo4217.48,123.155384215,1484375
grafo4218.85,119.134874078,896
grafo4219.46,109.544664704,390625
grafo4228.52,24.981878107,702
grafo4230.65,133.316183169,16250
grafo4233.72,212.694403608,978250
grafo4235.39,194.963943724,17576
grafo4236.41,70.25500674600001,16875
grafo4240.88,122.54621567,16875
grafo4250.43,117.163524596,23200
grafo4255.40,138.445313875,346875
grafo4261.94,57.339168646,16875
grafo4270.91,228.352089449,4486600
grafo4273.72,147.207395017,390625
grafo4275.94,80.035192352,1450
grafo4276.25,293.070303499,921355333890000
grafo4280.34,187.539207207,21025
grafo4283.25,263.967863369,130464
grafo4286.84,199.769644378,595000
grafo4293.85,209.913794434,16875
grafo4298.27,312.171373178,682453850721250
grafo429.89,238.344155934,437500
grafo4304.33,76.157844606,520000
grafo4310.80,306.260694992,634627447500
grafo4316.10,247.148687503,2995200
grafo4318.16,87.303222777,406250
grafo4321.41,217.581988777,129478434390
grafo4323.58,49.801277776,625
grafo4332.14,231.192415075,16875
grafo4338.37,47.007239448,884
grafo433.89,183.025493536,24500
grafo4344.42,336.563923235,6374768400
grafo4346.54,150.19607789,1609375
grafo4349.89,130.164230715,9375000
grafo4350.69,240.832095966,2121600
grafo4354.16,308.167102978,2921522892925000
grafo4362.23,64.554516917,3550
grafo4364.21,258.876279055,265511844
grafo4372.59,197.298389512,29900
grafo437.40,207.07147643,910000
grafo4379.27,73.091192182,25000
grafo4388.92,288.077862763,506133600
grafo4391.67,270.326269441,3610163125
grafo4394.95,200.557467495,1064200
grafo4395.15,70.58974747800001,390625
grafo439.90,206.177863735,10155104
grafo4404.34,220.682219261,6800625
grafo4406.70,89.078663788,531250
grafo4415.70,172.37405945,10985000
grafo441.82,171.32886657,88270000
grafo4425.23,208.57702726,20150
grafo4426.40,385.716270516,108919130625
grafo4432.96,276.292254381,37970660
grafo4433.45,282.982833118,6396633448734750
grafo4434.53,354.389977892,8800650000
grafo4435.91,255.106047054,1033852950
grafo4439.96,346.00468807,14949238320
grafo4442.31,86.78839550799999,625
grafo444.27,61.923358342,756
grafo4445.31,184.747491353,925
grafo4447.50,183.030440653,21000
grafo4449.51,225.365496312,3172750
grafo4450.40,54.075376579,750
grafo4451.74,33.883782588,1675
grafo4452.12,243.322884636,22678628000
grafo4457.59,200.791047445,17550
grafo4460.76,190.573570933,472500
grafo4467.98,149.63351228,1950
grafo4469.63,56.797959481,650
grafo4470.87,204.285380901,523125
grafo4471.55,61.496354066,390625
grafo4474.38,228.546445884,4208911200
grafo4475.11,145.976320179,35006150
grafo4477.36,81.891973099,86850
grafo4481.64,77.767978055,16250
grafo4483.89,182.09496437,18125
grafo4486.92,71.483500037,16875
grafo449.39,176.057751912,800
grafo4496.96,60.709748362,702
grafo4497.81,181.002097132,625
grafo4501.93,80.50108956,743600
grafo4503.98,207.93249975,390625
grafo4512.70,288.304821509,92892800000
grafo4515.49,106.119585139,79650
grafo4517.56,221.137658509,14875000
grafo4522.63,166.461072671,675
grafo4525.11,184.329240351,24800
grafo4533.88,93.94137099300001,6359375
grafo4538.40,266.3321437,1917500
grafo4549.53,251.812167204,3770020800
grafo4550.63,219.607083904,503750
grafo4551.53,97.574237401,103750
grafo4558.90,47.499582316,23250
grafo4560.30,215.069102781,21488600
grafo4562.91,343.070843425,1001216290750
grafo4565.32,181.798793174,5836150
grafo4569.16,207.109724739,10140000
grafo4571.33,156.109119555,4618152
grafo4575.79,148.50996189,7175
grafo4576.80,247.347162337,128623898
grafo4577.37,153.19921249,1792
grafo4579.50,198.876827717,471250
grafo4586.63,174.753610212,3875850
grafo459.18,50.980095991,1485
grafo4594.83,301.43027177,485338581000
grafo4597.83,240.363589486,64749375
grafo4598.32,28.239783393,650
grafo4599.20,58.503750472,1350
grafo4600.30,74.09473510799999,61100
grafo4604.53,196.259738624,15734375
grafo4605.37,135.691150819,11232000
grafo4606.88,96.000541168,47180000
grafo4608.61,51.79202354,625
grafo4612.75,75.822960686,625
grafo4616.44,42.325380874,832
grafo4619.60,69.390523479,650
grafo4620.72,211.365682271,406250
grafo4626.78,171.683997978,16900
grafo4630.36,70.8822687,2000
grafo4632.76,207.153035132,8991840
grafo4633.23,554.028155312,74633156777088
grafo4638.100,474.372077809,21518604200625
grafo4642.19,36.294578341,725
grafo4643.71,209.643793118,5925000
grafo4652.96,51.518058224,675
grafo4654.29,244.972866865,13086150000
grafo4657.39,401.382130058,261133249317600
grafo4658.43,102.608754762,23125
grafo4662.71,53.175500613,725
grafo4663.57,152.117614683,420250
grafo4664.60,53.617078489,650
grafo4666.39,378.028375521,32913301405530
grafo4669.62,190.332300819,462560625
grafo4671.88,250.296660853,1025739
grafo4673.89,251.950644259,282425
grafo4677.15,207.217426703,4225
grafo4681.38,275.294243191,1000350
grafo4683.91,264.01292075,314703125
grafo4691.93,165.87188479,85684
grafo4694.21,336.319448126,189180957966000
grafo4701.91,97.10463536899999,20300
grafo4702.48,251.213550474,327343750
grafo4704.19,301.400871018,100150050
grafo470.49,211.023249852,54912
grafo471.16,233.592028982,862966
grafo4711.87,56.734015781,625
grafo4716.29,77.049963648,29375
grafo4717.76,227.393578318,3504420
grafo4719.25,221.562886099,735875
grafo4721.95,304.294351829,282240000
grafo472.50,297.455732885,20307093950
grafo4732.83,269.392035102,30885000
grafo4734.87,352.334481756,72469770762816
grafo4736.82,119.934069284,390625
grafo4740.44,219.024113277,787500
grafo4749.98,32.080902763,650
grafo4751.26,241.178482827,376130000
grafo4752.34,52.632965816,875
grafo4755.91,218.561120292,9750000
grafo4758.93,24.8909233,625
grafo4768.86,125.555394289,468750
grafo4769.58,197.604172173,340425
grafo4770.48,126.089268988,9524450
grafo4771.15,256.254107892,69841102500
grafo4773.73,190.864621548,34500000
grafo4778.37,109.844899971,1328125
grafo4781.54,64.268313839,437500
grafo4786.61,120.671631585,390625
grafo4787.21,113.607909751,421875
grafo4788.35,187.06788464,12557300
grafo4789.68,21.275295483,900
grafo4790.92,87.78553078100001,625
grafo4791.16,238.236630309,936908
grafo4793.47,174.167478198,16250
grafo4797.38,148.89496847,178750
grafo4800.94,115.229290811,3375000
grafo4803.55,67.942985419,625
grafo4808.45,45.386773578,17500
grafo4809.30,180.031075408,17500
grafo4812.27,107.98280825,9000000
grafo4819.31,48.105688646,675
grafo4820.80,309.09961898,8570851250
grafo4822.53,182.333020004,15625
grafo4824.93,133.413064452,754
grafo4828.64,105.400517338,875
grafo4831.36,169.033372711,16875
grafo4832.72,35.021510672,625
grafo4837.29,228.185642772,1625000
grafo4838.73,297.47658368,1516448
grafo4841.77,231.829607905,14105000
grafo4842.39,217.955003322,625000
grafo4843.99,154.810385121,11375000
grafo4856.53,180.787292007,156000000
grafo4857.27,31.451548123,625
grafo4871.51,161.186464358,21632
grafo487.23,229.848867756,956250
grafo4872.95,232.303768667,2407608000
grafo4877.85,170.902021756,17550
grafo4878.64,265.237394224,6855856800
grafo4880.40,188.034209784,7325
grafo4881.54,176.55215422,2098170
grafo4886.22,145.875635339,562500
grafo4903.81,36.528545631,625
grafo4906.97,54.956931718,15625
grafo4907.15,92.712641254,390625
grafo4908.56,70.073264751,625
grafo4913.22,277.377106533,81636587500
grafo4915.62,204.921481151,406250
grafo4920.66,122.433665949,61380
grafo4931.41,193.512684741,85625
grafo4935.75,170.775474017,11160000
grafo4937.77,92.315461927,11781250
grafo4943.78,176.596761725,19375
grafo4944.36,69.36769198499999,33000
grafo4946.67,240.150034805,23524800
grafo4947.44,121.734734278,1300
grafo4948.71,210.43293679,52448725
grafo4953.45,206.898197249,1461844375
grafo4961.77,308.296675474,12480000
grafo4963.48,271.982233685,27233254496
grafo4971.68,199.346445414,29725500
grafo4980.96,311.227118231,472307196000
grafo498.59,64.09840264100001,675
grafo4989.62,203.179638786,920000
grafo4991.75,73.276544448,21875
grafo4992.30,57.36170722,625
grafo4994.35,41.538241007,875
grafo5001.54,27.237292299,1040
grafo500.20,118.429796374,2641541
grafo5005.89,80.635937586,16250
grafo5006.51,129.776739398,1249515625
grafo5014.77,88.008373232,406250
grafo5015.22,389.711159058,1283822661293350
grafo5020.33,239.493555716,30213750000
grafo5030.27,197.931489781,421875
grafo5034.67,149.848825378,884
grafo5035.58,205.205736006,439400
grafo5037.25,173.914907327,2462638884
grafo5038.70,199.721522317,26343903125
grafo5041.83,110.952384332,421875
grafo5049.31,212.012900626,29541200
grafo5051.57,62.126214134,625
grafo5052.51,290.028990576,291089271200
grafo5056.84,177.743406539,19575
grafo5057.93,103.626708721,15625
grafo5061.27,297.841157097,40576275
grafo5062.35,301.64993566,19891019778500
grafo506.28,56.733896848,1216
grafo5066.63,122.760824929,437500
grafo5069.21,280.560342875,1447648200
grafo5078.42,115.617496787,9375000
grafo5082.93,221.969681676,526500
grafo5086.41,136.891492127,421875
grafo509.63,35.445539299,625
grafo5097.71,30.507741125,1960
grafo5100.88,272.262051565,216954630000
grafo5103.51,42.929858684,650
grafo5104.87,187.033942979,1729000
grafo510.51,257.211536766,472500
grafo5105.61,193.691631775,1104375
grafo5109.22,144.289365988,5234625
grafo5113.25,200.302279083,439400
grafo5116.23,161.336380037,2160000
grafo5121.54,274.642349087,183971450
grafo5122.70,32.723143259,625
grafo5123.36,218.739416139,13485000
grafo5133.86,203.279748861,657072
grafo5135.76,54.434831576,1102
grafo5138.52,64.00886508000001,508950
grafo5139.10,193.953553591,134050
grafo5141.27,20.548075947,625
grafo5143.45,60.874309898,800
grafo514.77,189.977021024,3100305000
grafo5150.59,113.707539784,210625
grafo5153.13,287.607603401,75407800
grafo515.92,251.381288719,1301300
grafo5160.54,50.454035626,16875
grafo5161.42,168.38200567,12646200
grafo5162.33,161.402073387,625
grafo5163.14,243.796194895,41415
grafo5167.80,205.821139207,332500
grafo5170.13,148.975641762,14534000
grafo5172.23,38.967585363,784
grafo5176.83,167.705608808,111150000
grafo5180.90,184.906591214,16250
grafo5182.98,139.609763618,540318750
grafo5183.87,84.565826483,455000
grafo5185.99,336.198469479,93016500000
grafo5191.88,36.795575463,1305
grafo519.18,54.330858922,625
grafo5196.24,93.244076726,15625
grafo5205.45,206.138509128,13790400
grafo520.57,173.545745233,675
grafo5207.33,90.808703111,48750
grafo5211.98,161.562466815,832500
grafo5215.45,81.39723971399999,26604900
grafo5219.66,291.752600913,3846270355200
grafo5220.69,107.243974054,20625
grafo522.26,180.06997026,15625
grafo5229.55,48.84105567,1050
grafo523.31,303.958233935,1881484800
grafo5237.53,302.928310249,263062800
grafo5238.70,202.769654381,6694050
grafo5239.50,315.604919284,17800925
grafo5243.85,232.286369368,1301508000
grafo524.66,320.530889798,40215630000
grafo5247.98,190.999823875,31200
grafo5250.22,218.362901803,350962500
grafo5252.21,201.550800098,1485632
grafo5253.19,260.58372353,6983600
grafo5254.35,330.408358228,1152792000
grafo5255.21,170.329860611,625
grafo5268.36,220.484684704,20987484375
grafo5269.88,152.358943807,476420000
grafo5270.35,183.940622397,297567
grafo5279.60,243.487691091,365342850000
grafo5280.39,225.441466324,1286395600
grafo5283.52,79.278320265,868
grafo5288.20,297.734974028,8976000
grafo5298.67,156.525532767,406250
grafo5302.23,49.468539802,625
grafo530.97,94.950383359,20925
grafo5313.50,183.334713795,85540
grafo5321.31,69.26896761899999,625
grafo5326.68,53.404332942,16875
grafo5332.74,49.765441614,16900
grafo5334.84,158.882711986,609375
grafo5336.100,154.699596609,1200
grafo5338.36,94.93605558199999,15625
grafo5341.93,56.906967326,16875
grafo534.66,64.42944460699999,725
grafo5350.97,51.471592699,15625
grafo5353.23,323.794900898,42799900000
grafo5354.27,205.329381844,20000
grafo5355.33,183.718591604,33350
grafo5358.78,260.646655953,79385256150
grafo5360.76,269.227111902,1061078750
grafo536.10,71.00811916399999,625
grafo5362.23,215.64784202,438750
grafo5367.26,203.444805986,406250
grafo5369.30,116.252318158,390625
grafo5372.73,60.521675437,15625
grafo5377.100,158.182422111,5600192
grafo5379.58,338.952570032,473655000
grafo5380.74,75.99837700099999,15625
grafo5391.68,93.49175282,390625
grafo5395.94,183.007369069,16250
grafo5396.59,227.95259367,32560089375
grafo5404.60,29.508377114,725
grafo5410.84,329.462644502,7243830000
grafo5413.27,179.645347098,147800
grafo5414.91,116.446870707,900
grafo541.64,120.820276174,700
grafo5421.28,206.576000247,808300
grafo5425.20,281.590705481,1324890
grafo5427.51,26.85818506,675
grafo5429.48,314.270739168,436000500
grafo5434.47,210.232210064,438750
grafo544.100,156.973856205,2033900
grafo5443.68,87.015903677,4907500
grafo5444.69,130.443268282,1107
grafo5448.80,157.776062791,7676
grafo5452.10,200.852463044,406250
grafo5453.37,302.94779172,860047500
grafo5454.96,196.220587476,186247512
grafo5455.35,179.872115298,725
grafo5459.51,280.172745194,5405625
grafo5463.33,191.867214943,16250
grafo5470.30,271.982491464,27421875
grafo5472.46,201.048490172,2535000
grafo5473.81,89.674421991,650
grafo5474.21,192.809484151,19604
grafo5475.30,253.888897289,111196150
grafo5478.10,199.628726521,39933
grafo5481.16,228.005442394,12636000
grafo5483.64,37.125702389,850
grafo5496.51,25.072236043,650
grafo5500.85,175.859615323,725
grafo5501.21,36.773747928,17550
grafo5503.11,90.37573759999999,527800
grafo5509.35,286.768166183,173491626690000
grafo5513.89,128.948097405,90585
grafo5519.21,58.134032511,3825
grafo5521.15,154.794008233,36225294000
grafo5524.53,339.80019531,1737763227000
grafo5525.65,328.050662415,82536552581250
grafo552.93,241.604795039,1125000
grafo5538.60,47.77070039,1075
grafo553.86,105.604171404,62100
grafo5539.70,155.619426981,12075
grafo5540.36,91.092167287,22375
grafo5542.31,112.115446226,162500
grafo5546.73,47.420881594,625
grafo5547.83,136.998055711,422500
grafo555.32,55.839606602,5184
grafo5556.77,44.766898186,625
grafo5560.38,227.334014321,1836458
grafo5561.11,187.752263223,77350
grafo5564.33,179.224240903,725
grafo5570.74,86.03929478800001,1475
grafo5582.31,98.901958949,21250
grafo5587.58,111.789096302,38610
grafo5591.79,188.067737971,487500
grafo5593.47,214.406595783,552500
grafo5602.68,41.809724223,625
grafo5607.60,173.010620242,625
grafo5609.77,44.775314432,700
grafo5611.66,200.811600202,768250275
grafo561.36,370.216765397,61056400020
grafo5614.48,48.887861697,725
grafo5617.12,314.185536159,24082500
grafo5619.25,133.266000564,437500
grafo5624.23,192.298554328,21873600
grafo5629.68,61.319307122,31250
grafo5636.31,46.812681163,650
grafo5639.62,349.710659198,46762950000
grafo5642.95,45.081138444,850
grafo5643.54,88.783617333,16875
grafo5646.90,208.299874876,438750
grafo5649.38,110.468744756,780
grafo5653.67,170.553172526,10024
grafo5654.89,245.761773658,892500
grafo5659.29,192.877816128,21700
grafo5662.38,238.13199898,11520000
grafo5667.45,23.029898598,676
grafo5668.94,36.454679372,625
grafo5671.83,73.74064931700001,276925
grafo5672.100,94.371463267,1782
grafo5673.49,187.928072516,22500
grafo5674.86,228.241608261,19034400
grafo5676.45,339.600752311,566312500
grafo5680.73,193.8110369,422500
grafo5682.41,183.549913949,58480
grafo5685.71,172.725309426,625
grafo5690.32,214.473834338,18200
grafo5692.94,142.438907369,465724
grafo5698.22,66.596244837,21870
grafo570.72,92.278974527,890625
grafo5711.31,223.811191106,15410000
grafo5717.50,209.648038356,35649250
grafo5720.24,48.891168164,625
grafo5726.14,202.238669921,15625
grafo572.90,268.018180845,780925
grafo5732.67,197.235049541,421875
grafo5735.48,57.368304628,31725
grafo5736.76,212.019320593,12977172
grafo5741.22,78.544037133,45750
grafo574.60,98.56106671000001,16250
grafo5749.60,188.251704883,421875
grafo5754.40,247.414894483,7491250
grafo5755.74,222.595786971,666900
grafo5756.56,73.738486198,1877350
grafo575.94,190.16199873,16875
grafo5761.73,218.270018931,193423750
grafo5763.71,203.303597792,487500
grafo5775.100,41.245457699,625
grafo5779.63,242.128949251,3640000
grafo5788.33,37.381049749,1100
grafo5792.74,408.947370065,286857468590000
grafo5800.26,284.032134676,287313750
grafo5803.72,336.141610803,664845221700
grafo5818.72,37.434721607,625
grafo5824.53,133.452974262,362770100
grafo5827.56,273.342609908,403832643800
grafo5828.86,152.905822296,22407775
grafo5831.41,84.783878831,18252
grafo5833.88,43.844273969,6550
grafo5836.83,296.680573039,1171484375
grafo5837.16,56.319198429,800
grafo5838.68,142.282327885,91250
grafo584.53,252.3403348,9507982500
grafo5850.46,164.405366856,729
grafo5851.45,219.549653989,455000
grafo5852.32,48.326019668,625
grafo5853.58,284.099122738,23234900
grafo5859.72,249.77359775,3467750
grafo5861.26,93.877186915,406250
grafo5863.80,21.77207618,650
grafo5864.66,152.505561402,464619375
grafo5865.75,211.569987745,489375
grafo5866.91,33.369024048,625
grafo5872.56,237.384619378,6546440628
grafo5874.71,105.448834484,5757800
grafo5875.62,82.920071603,800
grafo5876.70,164.744625016,16875
grafo5880.95,236.271548235,52162500
grafo5881.55,347.101045438,220706250
grafo588.96,169.008374158,700
grafo5893.12,98.92169814,33125
grafo5894.97,119.797682971,16250
grafo5902.59,206.267392169,15625
grafo5904.74,141.95490491,650
grafo5905.89,41.395358671,625
grafo590.70,66.697868001,2175
grafo5910.58,221.375899178,13671875
grafo5913.47,218.619733705,2046875
grafo5920.70,242.442474429,11812500
grafo593.94,103.629443669,868
grafo5945.94,34.092745849,650
grafo5948.59,49.080034945,18125
grafo5950.48,141.49879985,7810000
grafo5962.41,39.966818639,775
grafo5969.43,27.854719144,754
grafo5972.57,154.562212531,7349628
grafo5973.92,69.925224292,16250
grafo5976.77,189.36257488,20000
grafo5981.62,251.858000503,15491250
grafo5984.49,199.514995099,17550
grafo5986.84,59.457588411,453125
grafo5988.67,146.219499331,27156250
grafo5990.51,90.742750156,1308000
grafo6003.43,41.353804453,650
grafo6005.99,72.002754739,2000
grafo6007.52,232.783550488,617208054
grafo6008.39,334.165843034,23730000
grafo6009.71,79.29344441800001,15625
grafo6011.96,286.437279462,3262109375
grafo6012.78,213.11520743,523900
grafo6021.89,228.33321784,1521000
grafo6022.32,187.9520833,18125
grafo6023.70,173.491370605,20625000
grafo602.41,44.750740795,75600
grafo6025.73,266.158267254,3238031250
grafo6027.96,253.54034082,11407500
grafo6028.73,194.074006956,9765625
grafo6030.71,196.692610133,2298609375
grafo6031.29,170.83081138,3806220
grafo6033.16,195.296561991,8408088
grafo6034.33,194.525990463,406250
grafo6039.15,77.13135147600001,17276
grafo6040.58,261.54987836,65221000
grafo6041.35,100.035239278,44950
grafo6042.49,33.002729873,650
grafo6047.35,56.864283654,625
grafo6052.89,62.07465525,676
grafo605.58,107.96717193,15418
grafo6058.31,95.64143903999999,1187730
grafo6059.26,191.197394098,5352750
grafo6062.73,46.673849748,625
grafo6067.56,27.873671562,625
grafo6068.80,142.539147901,162905
grafo6074.20,46.241662422,750
grafo6077.58,170.710931624,7000000
grafo608.54,81.37492614200001,453125
grafo6089.77,328.229135484,2677320000
grafo6092.83,189.145945703,406250
grafo6094.56,115.213795592,177775
grafo6101.40,142.424988451,5595650
grafo610.36,297.77659516,10640093750
grafo6112.99,98.604567144,1153750
grafo6114.52,285.397657099,104652
grafo6118.36,346.04364463,229342165625
grafo6122.65,207.307932016,581250
grafo6126.31,52.037886402,625
grafo6127.92,221.515824085,41094
grafo6129.45,44.32135802,675
grafo6134.32,68.60728384799999,725
grafo6138.76,22.221729624,962
grafo614.17,121.59393326,37798644650
grafo6141.88,233.074407341,14851200
grafo6143.50,138.798745151,14500000
grafo6146.93,163.638759231,837
grafo6149.86,73.720992905,20800
grafo6151.86,141.123300917,2637578125
grafo6154.80,196.118742459,14696640
grafo6156.97,261.434453647,155723750
grafo6162.21,214.350859404,978750
grafo6165.78,228.514494639,68485500
grafo6169.16,153.716611258,20800
grafo6170.11,163.829434854,18900
grafo6171.78,181.032326248,16250
grafo6177.53,175.616145967,340617500
grafo6178.29,127.555611962,2248750
grafo6181.43,202.434956833,17500
grafo6186.18,208.775431955,1171875
grafo6195.48,192.189479983,26040
grafo6205.92,137.206238008,422500
grafo6208.28,62.951183375,625
grafo620.86,373.242228155,3413884711250
grafo6209.69,262.817199348,166608625
grafo6216.83,190.186588964,523900
grafo6218.92,167.794820295,780
grafo6222.16,184.88704958,17500
grafo6225.17,88.445606337,832
grafo6226.28,129.824950589,1438290
grafo622.90,194.029730848,15625
grafo6232.11,272.790741865,2557375
grafo6235.31,135.019726582,28575
grafo6241.18,62.341005377,16900
grafo6242.22,34.05160906,27716
grafo6249.28,317.260102078,9796000
grafo625.42,521.22339304,2266801907500
grafo6263.73,55.165324266,16250
grafo6271.10,300.929018009,362286217500
grafo6272.43,185.385324056,213786
grafo6274.80,262.971697539,56419070400
grafo6280.24,246.111370077,17540172
grafo6282.88,283.37366472,73171875
grafo6284.56,189.311610835,18125
grafo6292.81,205.00393154,11340000
grafo6294.88,195.340005928,421875
grafo6301.90,78.337889581,9050
grafo6303.59,174.639518305,1526547
grafo6304.17,240.476841323,11745000
grafo630.44,104.142124729,406250
grafo6309.91,226.25818688,520000
grafo6311.62,220.499800246,421875
grafo6316.62,243.616116638,62725000
grafo6324.76,187.13613374,17500
grafo6326.61,214.047969055,438750
grafo6327.62,217.489042609,12555000
grafo6329.17,185.499725277,21250
grafo6331.25,162.162804101,12500000
grafo6332.41,73.552304468,1150
grafo6340.28,274.12928416,4423068346158000
grafo6341.55,188.16231228,336420
grafo6342.61,181.141909588,487500
grafo634.46,166.508094338,131373450
grafo6346.59,296.600671863,17409700
grafo6348.52,237.500277731,1102500
grafo6351.50,229.072172826,29062500
grafo6352.60,201.759845477,363636
grafo6356.16,273.45231477,3563978184
grafo6357.59,47.981002583,775
grafo6361.27,196.649616962,99425
grafo6367.19,168.048431229,700
grafo636.98,112.934306037,4361250
grafo6370.47,40.314966594,675
grafo6372.70,195.089550059,36750
grafo6373.38,34.937276223,675
grafo6374.19,170.966934211,14435102500
grafo6375.66,285.708424252,138494531250
grafo6382.63,193.299225989,23475
grafo638.40,210.179832455,1261625625
grafo6384.80,217.221324889,606875
grafo6389.12,272.118579944,90136800
grafo6391.88,74.736412249,27300
grafo6397.16,237.840003007,267292225000
grafo6399.32,261.728249108,2552283
grafo6400.80,147.959907081,88627149
grafo6402.26,94.294496841,18278
grafo6404.36,162.334181535,50017500
grafo6406.95,57.61152859,625
grafo6411.47,209.035240789,23200
grafo6414.93,312.59894459,2195100
grafo6416.13,240.533166796,10156250
grafo6417.97,293.596319174,16005600
grafo6424.24,48.801244889,3753
grafo6425.82,51.402890429,625
grafo6426.71,72.076903958,16875
grafo6432.22,67.46209343,437500
grafo6433.95,299.014573478,821779000000
grafo6434.99,134.182613348,43550
grafo6438.70,218.410377516,12776400
grafo6440.63,146.692819736,7575
grafo6445.95,218.0179465,546000
grafo6447.19,208.314692979,68121
grafo6448.24,91.958606364,489375
grafo6458.80,98.356121735,390625
grafo6467.79,208.672477803,29859375
grafo646.83,78.58970294300001,20150
grafo6471.65,71.5893698,21450
grafo6481.96,27.12736704,650
grafo6489.52,61.005301725,421875
grafo6491.36,140.785952931,720575
grafo6496.99,300.19307968,1451591458200
grafo6497.63,204.483608299,19440000
grafo6513.15,71.90006637,82925
grafo6521.18,109.755057527,914550
grafo6550.38,94.51085491800001,31772655
grafo6554.99,195.604003361,490100
grafo6555.59,112.474367197,675
grafo6564.25,241.91844049,43483700
grafo6575.38,345.102745554,60460400
grafo6577.84,243.472956098,38750400
grafo6582.16,222.922640715,51765000
grafo6584.54,326.300749802,194099705800
grafo6595.47,333.682688001,24852420483651200
grafo6598.75,121.721544102,21250
grafo6605.32,308.308531441,17973399600
grafo6611.19,194.673758352,18322200
grafo6612.74,185.362222828,1617320705000
grafo6615.100,100.497153574,49375
grafo6621.97,250.182039019,546146250
grafo6623.63,180.507698591,17550
grafo6624.28,186.425583638,625
grafo6627.35,67.970512926,28500
grafo6628.48,216.243957901,1676250
grafo6632.80,93.971090061,15625
grafo6637.79,187.023064915,18125
grafo6643.37,301.004508958,49120750
grafo6647.82,283.375844068,75247531144
grafo6648.66,306.192394601,35255990250
grafo6653.68,38.128381866,700
grafo665.72,72.436300785,16875
