Instance,2_threads_time,2_threads_solutions,2_threads_max_blocks,4_threads_time,4_threads_solutions,4_threads_max_blocks,8_threads_time,8_threads_solutions,8_threads_max_blocks
Harnet.txt,0.1711,1075,5,0.1676,1075,5,0.1717,1075,5
Heanet.txt,0.3395,17055450,7,0.3401,17055450,7,0.3414,17055450,7
HiberniaCanada.txt,0.0277,36036000,12,0.0285,36036000,12,0.0276,36036000,12
HiberniaGlobal.txt,0.0371,3241555200,12,0.0353,3241555200,12,0.0357,3241555200,12
HurricaneElectric.txt,0.0450,12000000,15,0.0449,12000000,15,0.0451,12000000,15
Ibm.txt,0.0429,1082400000,16,0.0442,1082400000,16,0.0457,1082400000,16
Ilan.txt,0.0785,50388000,10,0.0784,50388000,10,0.0809,50388000,10
Integra.txt,0.1486,523125,9,0.1398,523125,9,0.1480,523125,9
Intellifiber.txt,0.1414,24050,6,0.1451,24050,6,0.1544,24050,6
Internode.txt,0.0356,110000000,16,0.0364,110000000,16,0.0383,110000000,16
Ion.txt,0.0383,401601200,14,0.0382,401601200,14,0.0388,401601200,14
IowaStatewideFiberMap.txt,0.0369,1100000,12,0.0400,1100000,12,0.0361,1100000,12
Janetlense.txt,0.0746,1244160,11,0.0759,1244160,11,0.0759,1244160,11
Kdl.txt,0.1676,775,4,0.1698,775,4,0.1695,775,4
KentmanApr2007.txt,2.3982,3907926100,5,2.4573,3907926100,5,2.4012,3907926100,5
KentmanAug2005.txt,0.0792,756,4,0.0767,756,4,0.0790,756,4
KentmanJan2011.txt,0.0825,3481920,11,0.0847,3481920,11,0.0819,3481920,11
Kreonet.txt,0.0365,702000000,16,0.0375,702000000,16,0.0371,702000000,16
LambdaNet.txt,3.5513,50668090200,6,3.5520,50668090200,6,3.5612,50668090200,6
Layer42.txt,0.0820,1248480,11,0.0945,1248480,11,0.0819,1248480,11
Litnet.txt,0.0454,10000000,14,0.0449,10000000,14,0.0481,10000000,14
Marwan.txt,0.1572,16250,6,0.1632,16250,6,0.1624,16250,6
Mren.txt,0.0762,1789952,11,0.0748,1789952,11,0.0775,1789952,11
NetworkUsa.txt,0.0383,1058200000,16,0.0365,1058200000,16,0.0371,1058200000,16
Nordu1997.txt,0.0383,154000000,16,0.0398,154000000,16,0.0400,154000000,16
Nsfnet.txt,0.0435,39270000,14,0.0416,39270000,14,0.0424,39270000,14
Ntt.txt,0.1960,26000,6,0.1926,26000,6,0.1979,26000,6
Oteglobe.txt,0.0363,2560000,13,0.0373,2560000,13,0.0366,2560000,13
Oxford.txt,0.1472,22100,6,0.1501,22100,6,0.1506,22100,6
Quest.txt,0.1622,1418300,7,0.1679,1418300,7,0.1664,1418300,7
RedBestel.txt,0.0630,1827840,11,0.0538,1827840,11,0.0537,1827840,11
Rediris.txt,0.1057,226746000,10,0.1019,226746000,10,0.1040,226746000,10
Renater2001.txt,0.0749,1583550,10,0.0764,1583550,10,0.0785,1583550,10
Restena.txt,0.4070,289562364,5,0.4094,289562364,5,0.4103,289562364,5
Reuna.txt,0.1865,511056,9,0.1904,511056,9,0.1933,511056,9
RoedunetFibre.txt,0.1854,16875,6,0.1721,16875,6,0.1715,16875,6
Sago.txt,0.1870,20625,6,0.1896,20625,6,0.1860,20625,6
Savvis.txt,0.1971,18900,7,0.1913,18900,7,0.1926,18900,7
Singaren.txt,0.0619,1300500,11,0.0588,1300500,11,0.0546,1300500,11
Surfnet.txt,0.5628,159849725,4,0.5597,159849725,4,0.5627,159849725,4
SwitchL3.txt,0.1910,5225,4,0.1896,5225,4,0.1947,5225,4
Syringa.txt,0.1588,16875,7,0.1567,16875,7,0.1596,16875,7
TLex.txt,0.0413,14400000,15,0.0409,14400000,15,0.0421,14400000,15
Telcove.txt,0.0372,86400000,13,0.0378,86400000,13,0.0415,86400000,13
Ulaknet.txt,0.0449,1762560,10,0.0479,1762560,10,0.0456,1762560,10
UniC.txt,0.0335,4320000,12,0.0327,4320000,12,0.0334,4320000,12
Uninet.txt,0.0352,73500000,14,0.0369,73500000,14,0.0399,73500000,14
Uninett2010.txt,0.0641,650,4,0.0627,650,4,0.0653,650,4
Uninett2011.txt,0.1756,438750,9,0.1753,438750,9,0.1673,438750,9
Uran.txt,0.0411,250000000,16,0.0391,250000000,16,0.0375,250000000,16
UsCarrier.txt,0.0807,4161600,10,0.0806,4161600,10,0.0816,4161600,10
Uunet.txt,0.0409,13200000,15,0.0422,13200000,15,0.0401,13200000,15
