Instance,#cols,#rows,DLX,DXZ,D3X(+c),DXD_S,DXD_M(16),SharpSAT-TD,ExactMC,#sols,#Max_B,zdd_compile(s),cnf_compile(s)
bell-03,3,7,<1ms,<1ms,<1ms,<1ms,<1ms,1.0059,0.0002,5,1,0.000001,0.0
bell-04,4,15,<1ms,<1ms,0.0001,<1ms,<1ms,1.0055,0.0003,15,1,0.000003,0.0001
bell-05,5,31,<1ms,<1ms,0.0003,<1ms,<1ms,1.0081,0.0006,52,1,0.000007,0.0002
bell-06,6,63,<1ms,<1ms,0.0012,<1ms,<1ms,1.0175,0.0028,203,1,0.000016,0.0004
bell-07,7,127,<1ms,<1ms,0.0049,<1ms,<1ms,1.0931,0.0147,877,1,0.000040,0.0018
bell-08,8,255,<1ms,<1ms,0.0234,0.0029,0.0027,2.2432,0.3723,4140,1,0.000088,0.0007
bell-09,9,511,0.0018,0.0030,0.1193,0.0123,0.0124,11.3771,1.9385,21147,1,0.000214,0.0017
bell-10,10,1023,0.0113,0.0196,0.6526,0.0567,0.0569,25.1795,10.7211,115975,1,0.000617,0.006
bell-11,11,2047,0.0703,0.1448,3.8179,0.3100,0.2962,181.7053,13.6658,678570,1,0.001503,0.0105
bell-12,12,4095,0.4836,1.0934,23.9429,1.5146,1.5206,timeout,71.0015,4213597,1,0.003196,0.0253
doublefact-01,2,1,<1ms,<1ms,<1ms,<1ms,<1ms,-,0.0001,1,1,0.000000,0.0
doublefact-03,4,6,<1ms,<1ms,<1ms,<1ms,<1ms,1.0052,0.0002,3,1,0.000003,0.0
doublefact-05,6,15,<1ms,<1ms,0.0002,<1ms,<1ms,1.0055,0.0057,15,1,0.000004,0.0001
doublefact-07,8,28,<1ms,<1ms,0.0012,<1ms,<1ms,1.0077,0.0123,105,1,0.000008,0.0001
doublefact-09,10,45,<1ms,<1ms,0.0106,<1ms,<1ms,1.0153,0.0158,945,1,0.000013,0.0001
doublefact-11,12,66,<1ms,<1ms,0.1156,0.0038,0.0036,1.1073,0.0454,10395,1,0.000022,0.0003
doublefact-13,14,91,0.0051,0.0017,1.5245,0.0186,0.0193,4.6211,0.4145,135135,1,0.000047,0.0003
doublefact-15,16,120,0.0711,0.0133,22.4596,0.1037,0.1039,114.1792,6.0755,2027025,1,0.000047,0.0003
doublefact-17,18,153,1.2278,0.1093,384.331,0.6205,0.6018,timeout,123.633,34459425,1,0.000068,0.0004
doublefact-19,20,190,23.2231,0.8961,timeout,3.1339,3.1315,timeout,timeout,654729075,1,0.000093,0.0007
doublefact-21,22,231,481.5309,7.3781,timeout,15.1995,16.2371,timeout,163.561,13749310575,1,0.000121,0.0004
doublefact-23,24,276,timeout,60.6446,timeout,320.6701,72.2228,timeout,timeout,316234143225,1,0.000151,0.0005
doublefact-25,26,325,timeout,491.8081,timeout,317.3878,315.9444,timeout,timeout,7905853580625,1,0.000196,0.0006
doublefact-27,28,378,timeout,timeout,timeout,timeout,timeout,timeout,timeout,,,0.000239,0.0007
doublefact-29,30,435,timeout,timeout,timeout,timeout,timeout,timeout,timeout,,,0.000325,0.0009
kts15-ptpt-0001,132,400,0.0034,0.0780,0.1113,0.0468,0.0471,-,-,0,1,0.002021,0.0026
kts15-ptpt-0002,132,394,0.0042,0.0932,0.1315,0.0493,0.0498,-,-,0,1,0.001977,0.0026
