Instance,#cols,#rows,DynDXD_T8,Solutions,Max Blocks,|ZDD|,|DNNF|
AsnetAm.txt,95,450,0.0822,57263248008845597016144,8,,3451
AttMpls.txt,45,193,0.0316,643383972000,6,,874
Bellcanada.txt,77,333,0.0310,397208326639728240,9,,919
Bellsouth.txt,80,322,0.1830,201310358040265824,6,,6754
BeyondTheNetwork.txt,54,249,0.0270,7940347365600,5,,1168
BtNorthAmerica.txt,71,671,0.5763,1962017862552,4,,5861
Cernet.txt,66,280,0.1289,5091694988215680,6,,4791
Cesnet200706.txt,45,551,0.7057,751155137,2,,9636
Cesnet201006.txt,48,252,0.0684,160226262000,4,,2686
Chinanet.txt,33,154,0.0445,54296880,4,,904
Cogentco.txt,371,59017,,,,,
Colt.txt,266,9389,175.9954,44022824739969457390942101159192970000,6,,1427348
Columbus.txt,126,1611,7.9178,11090559239093988811206,4,,94039
Cudi.txt,87,738,0.3898,2284733003234850,4,,6869
Deltacom.txt,199,3453,64.2235,44240844515717165267068137990,4,,540022
DeutscheTelekom.txt,70,312,0.0563,21484405741312800,7,,2163
Dfn.txt,89,372,0.0558,696654364072024512000,9,,2292
DialtelecomCz.txt,252,2779,15.7686,37779453617455540376523167178859541798910546240,8,,424500
Esnet.txt,89,375,0.0593,6940048588064486400,7,,2820
Forthnet.txt,83,708,0.3237,10093160643906186000,5,,13463
Garr200902.txt,89,1207,3.2088,135005801581192500,4,,28733
Garr200908.txt,90,930,1.2965,69796033107518880,4,,19399
Garr200909.txt,78,347,0.0785,47256551291447680,6,,3804
Garr200912.txt,84,422,0.1358,1377805472820000,5,,3330
Garr201001.txt,90,1490,4.2320,233485397530380,4,,17447
Garr201003.txt,72,312,0.0461,1540945209323520000,9,,1772
Garr201004.txt,79,337,0.0690,222412880132352000,7,,3027
Garr201005.txt,83,444,0.2226,779728215626918157600,7,,10613
Garr201007.txt,82,383,0.1255,80020893863940864,5,,7036
Garr201008.txt,85,416,0.0856,334049624920704000,7,,2517
Garr201010.txt,67,321,0.0989,8627590783435932,6,,4233
Garr201012.txt,71,257,0.0319,7123760428232448,8,,1190
Garr201101.txt,82,321,0.0461,81181231957163520,7,,1951
Garr201102.txt,73,437,0.6555,32712210965594160,6,,15205
Garr201103.txt,80,354,0.0762,1545889194864875520,7,,2877
Garr201104.txt,95,1634,5.4955,360770980609975432500,5,,46938
Garr201105.txt,76,379,0.0686,7291826388000000,6,,2689
Garr201107.txt,92,938,3.0683,3511936151623226880,5,,33144
Garr201108.txt,86,501,0.1731,160580376462655733760,7,,7494
Garr201109.txt,88,496,0.1925,2006233069378575622400,6,,12325
Garr201110.txt,89,845,1.6882,2603591970819480,4,,8806
Garr201111.txt,83,874,6.2087,243412714396501650,5,,117834
Garr201112.txt,65,251,0.0308,10600352025120,6,,1001
Garr201201.txt,88,431,0.1158,1183732146448488,6,,2485
Geant2009.txt,54,278,0.2078,246271466455560,7,,5885
Geant2010.txt,66,433,0.4636,8399178556245,4,,12508
Geant2012.txt,69,359,0.1193,32847190751760000,5,,6380
Globenet.txt,134,4214,69.8223,439674463924754619113318,4,,201171
GtsCe.txt,,,,,,,
HiberniaGlobal.txt,93,414,1.3859,1204529750681989382784,8,,49322
Highwinds.txt,33,167,0.0616,108403680,4,,1651
Iij.txt,38,162,0.0291,5591048004,4,,884
Intellifiber.txt,146,1908,1.9360,88027555224066272724000,5,,92190
Internode.txt,65,401,0.5359,4769455132777455,5,,15466
Interoute.txt,154,1424,3.7969,147456233765577302294200,5,,69356
Intranetwork.txt,63,360,0.0992,326799486244080,6,,1735
Ion.txt,221,3324,21.1201,4762814494370049631415425585600,5,,257884
Iris.txt,88,411,0.2517,2014681637934382680,5,,13755
Kdl.txt,,,,,,,
Latnet.txt,99,464,0.1313,215790163651981047951360,8,,6950
Missouri.txt,111,539,0.1271,402207728822045703228672000,9,,5570
Ntelos.txt,73,286,0.1499,5326600772145744,6,,6281
Ntt.txt,39,169,0.0287,7364978816,5,,643
Oteglobe.txt,150,659,1.1455,55509369909687949189419442742400,10,,45389
Palmetto.txt,76,357,0.1229,44145330007014400,5,,5085
Pern.txt,60,815,0.7159,11329064547,3,,7270
PionierL3.txt,58,281,0.0606,4653783423926208,6,,2475
RedBestel.txt,141,738,0.4169,93801000248593519715177152596480,9,,19900
Renater2010.txt,76,663,0.6197,456137595838925,4,,11321
RoedunetFibre.txt,80,465,0.1187,4198960034826675300,6,,5421
Sinet.txt,68,1565,3.6032,66155221981436,3,,61447
Surfnet.txt,89,821,1.2255,12019520518019100,4,,14984
Switch.txt,119,609,0.3431,509757185707879302369280,7,,12760
SwitchL3.txt,49,190,0.0148,642692745216,6,,470
Syringa.txt,123,660,0.4735,275011565933417772956310000,7,,27088
TataNld.txt,267,5830,61.0806,20375753581138322409637841899438288451729695200,9,,402309
Telcove.txt,110,770,1.1374,269874611683274387790000,7,,21868
Tinet.txt,96,433,0.3518,919118278829706329088,6,,16445
Tw.txt,,,,,,,
Ulaknet.txt,49,283,0.1550,1017526838400,4,,3913
