dataset,valid_runs,avg_ett_row_threshold,avg_cc_calls,avg_dec_cc_calls,avg_inc_cc_calls,avg_merges,avg_tree_edge_cuts,avg_non_tree_edge_cuts,avg_splits,avg_decompose,avg_cc_computations,avg_vertex_sum,avg_edge_sum,avg_updated_vertex_sum,avg_updated_edge_sum,avg_ett_vertex_sum,avg_ett_edge_sum,avg_ett_updated_vertex_sum,avg_ett_updated_edge_sum,avg_non_ett_vertex_sum,avg_non_ett_edge_sum,avg_non_ett_updated_vertex_sum,avg_non_ett_updated_edge_sum,avg_ett_cc_times,avg_non_ett_cc_times,avg_ett_full_edge_sum,avg_ett_replacement_scan_sum,avg_dynamic_scanned_edge_sum,avg_replacement_searches,avg_replacement_scan_steps
dominoes_set,5,50.0,74869.6,37434.8,37434.8,26750.8,80075.6,72046.0,53324.8,60.8,15466.8,1568585.4,29007760.2,132989.2,368320.0,1457081.4,28782306.0,106649.6,304243.2,111504.0,225454.2,26339.6,64076.8,11866.8,3600.0,15343804.4,10859655.4,11085109.6,80075.6,10859655.4
graphs_set,88,59.09090909090909,45399.75,22699.875,22699.875,814300.0340909091,885225.7840909091,3418282.7386363638,70925.75,7717.284090909091,17480.272727272728,440247.9772727273,39206335245.579544,337651.0681818182,10013046.386363637,64846.59090909091,39205148959.693184,137107.6590909091,8607017.045454545,375401.38636363635,1186285.8863636365,200543.4090909091,1406029.3409090908,966.0681818181819,16514.204545454544,38539745132.931816,8864634064.21591,8865820350.102272,885225.7840909091,8864634064.21591
