dataset,instance,input,status,time_s,error,Status,Init_Graph_E,Query,Splits,ETT_cc_times,ETT_dec_calls,ETT_DXD_V,ETT_DXD_E,ETT_Vd,ETT_Ed,ETT_Er
dominoes_set,dominoes_10x10,data/batch_2/dominoes_set/dominoes_10x10.txt,success,0.021841,,1,484,18,0,3,34,5040,13409,65,185,45
dominoes_set,dominoes_10x12,data/batch_2/dominoes_set/dominoes_10x12.txt,success,0.030798,,1,592,21,0,3,40,7220,19440,76,216,44
dominoes_set,dominoes_12x12,data/batch_2/dominoes_set/dominoes_12x12.txt,success,0.140972,,1,724,24,0,3,46,10140,27581,89,257,49
dominoes_set,dominoes_8x10,data/batch_2/dominoes_set/dominoes_8x10.txt,success,0.006755,,1,376,15,0,3,28,3256,8531,53,149,29
dominoes_set,dominoes_8x8,data/batch_2/dominoes_set/dominoes_8x8.txt,success,0.004381,,1,292,13,0,3,24,2160,5544,45,126,37
dominoes_set,tetrominoes_4x5,data/batch_2/dominoes_set/tetrominoes_4x5.txt,success,2.441148,,1,7667,95,12,3,835,26299,596965,14648,385713,4169
dominoes_set,tetrominoes_4x7,data/batch_2/dominoes_set/tetrominoes_4x7.txt,success,0.415956,,1,14109,5,0,3,8,1428,70966,192,12350,536
dominoes_set,tetrominoes_6x6,data/batch_2/dominoes_set/tetrominoes_6x6.txt,success,1.412156,,1,25016,6,0,3,10,2512,145384,286,21808,475
dominoes_set,tetrominoes_6x8,data/batch_2/dominoes_set/tetrominoes_6x8.txt,success,5.593869,,1,39264,7,0,3,12,4730,310507,344,28378,563
