dataset,instance,input,status,stats_complete,time_s,cc_cpu_s,cc_cpu_ratio,solutions,cc_calls,dec_cc_calls,inc_cc_calls,merges,tree_edge_cuts,splits,merge_per_cc,split_per_cc,avg_v,avg_e,avg_vd,avg_ed,avg_en_per_update,avg_en_per_ed,replacement_search_calls,replacement_scan_steps,avg_scan_per_search,early_break_rate,full_scan_rate
set_partition_benchmarks,delta,data/batch_2/set_partition_benchmarks/delta.txt,timeout_partial,0,120.000263,117.545574,0.979544,,189860,94938,94922,5829,6679,850,0.030701569577583483,0.004476983040134836,0.26826609080375013,23.272621931949857,47.599878858105974,831.3776203518382,13317.353797611113,29350.7662823776,6679,18860015,2823.7782602185957,0.8727354394370415,0.12726456056295854
set_partition_benchmarks,exotic_fives,data/batch_2/set_partition_benchmarks/exotic_fives.txt,timeout_partial,0,120.007853,119.575484,0.996397,,40032,20022,20010,3193,3555,362,0.07976119104716227,0.009042765787370104,0.5566047162270183,150.1030925259792,40.514263589128696,679.9397731814548,56206.79246466667,295610.6931082982,3555,136952373,38523.87426160338,0.8981715893108299,0.10182841068917019
set_partition_benchmarks,meteor,data/batch_2/set_partition_benchmarks/meteor.txt,timeout_partial,0,,,,,6,5,1,920,959,39,153.33333333333334,6.5,1931.5,950205.5,353.3333333333333,255470.83333333334,620036.0199693333,690695.4066736184,959,65719981,68529.69864442127,0.959332638164755,0.040667361835245046
set_partition_benchmarks,sppnw08,data/batch_2/set_partition_benchmarks/sppnw08.txt,timeout_partial,0,120.002772,119.873171,0.998920,,14520,7267,7253,52233,76304,24071,3.597314049586777,1.6577823691460054,32.22252066115703,1220.7219008264462,33.54125344352617,1813.7234159779614,259.58948328292047,2558.0807821346193,76304,37250463,488.1849313273223,0.684538163136926,0.315461836863074
set_partition_benchmarks,sppnw09,data/batch_2/set_partition_benchmarks/sppnw09.txt,timeout,,,,,,,,,,,,,,,,,,,,,,,,
set_partition_benchmarks,sppnw10,data/batch_2/set_partition_benchmarks/sppnw10.txt,timeout_partial,0,120.026951,119.987348,0.999670,,1754,880,874,10464,17088,6624,5.965792474344355,3.7765108323831242,45.29247434435576,3137.474914481186,58.54446978335234,4543.248574686431,1200.0524667777777,23698.10100655431,17088,73890809,4324.1344218164795,0.6123595505617978,0.38764044943820225
set_partition_benchmarks,sppnw12,data/batch_2/set_partition_benchmarks/sppnw12.txt,timeout_partial,0,120.058107,119.971388,0.999278,,5400,2703,2697,14350,20937,6587,2.6574074074074074,1.219814814814815,40.39037037037037,2438.704074074074,60.665925925925926,3984.2414814814815,467.0578158766701,6525.180732674213,20937,18628678,889.7491522185604,0.6853895018388498,0.3146104981611501
set_partition_benchmarks,sppnw15,data/batch_2/set_partition_benchmarks/sppnw15.txt,success,1,58.326578,58.278845,0.999182,46,4718,2359,2359,26670,31445,4775,5.652818991097923,1.0120813904196693,35.61064010173803,2017.452098346757,35.38151759220008,2447.747774480712,1308.2874173912387,6282.880426140881,31445,33909928,1078.3885514390206,0.8481475592304023,0.15185244076959772
set_partition_benchmarks,sppnw19,data/batch_2/set_partition_benchmarks/sppnw19.txt,timeout_partial,0,,,,,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0
set_partition_benchmarks,sppnw20,data/batch_2/set_partition_benchmarks/sppnw20.txt,success,1,28.671441,28.298241,0.986984,538696,44458,22229,22229,912,960,48,0.02051374330829097,0.001079670700436367,0.038395789284268296,8.533897161365783,44.00953709118719,1314.5613387916685,24323.0031125,109807.990625,960,2287150,2382.4479166666665,0.95,0.05
set_partition_benchmarks,sppnw21,data/batch_2/set_partition_benchmarks/sppnw21.txt,success,1,9.626094,9.466051,0.983374,291047,32330,16165,16165,767,810,43,0.023724095267553355,0.0013300340241261986,0.05654191153727189,9.21778533869471,27.474976801732137,596.1151252706464,19078.296712,65333.1024691358,810,3005189,3710.10987654321,0.9469135802469136,0.05308641975308642
set_partition_benchmarks,sppnw22,data/batch_2/set_partition_benchmarks/sppnw22.txt,success,1,12.697340,12.446442,0.980240,286758,60326,30163,30163,882,948,66,0.01462056161522395,0.00109405563107118,0.029920763849749694,5.172595564101714,23.04681231972947,320.63324271458407,24310.471812857144,50166.72995780591,948,4692497,4949.891350210971,0.930379746835443,0.06962025316455696
set_partition_benchmarks,sppnw23,data/batch_2/set_partition_benchmarks/sppnw23.txt,timeout_partial,0,126.420601,126.388035,0.999742,,2512,1259,1253,10969,13534,2565,4.366640127388535,1.0210987261146496,39.52587579617835,4237.772691082802,45.884952229299365,4914.113455414013,2257.216294970407,42673.49468006502,13534,82496283,6095.484187971036,0.8104773163883553,0.18952268361164476
set_partition_benchmarks,sppnw24,data/batch_2/set_partition_benchmarks/sppnw24.txt,timeout_partial,0,120.016829,119.391997,0.994794,,45688,22847,22841,1641,1697,56,0.035917527578357554,0.001225704780248643,0.06695412362108212,36.91269042199264,61.766634564874806,3292.043578182455,166791.86245319998,549362.4944018857,1697,15969838,9410.629345904537,0.9670005892751915,0.032999410724808484
set_partition_benchmarks,sppnw25,data/batch_2/set_partition_benchmarks/sppnw25.txt,timeout_partial,0,120.029244,119.183765,0.992956,,71982,35994,35988,1358,1398,40,0.01886582756800311,0.0005556944791753494,0.04399711038870829,17.92712066905615,53.20459281487038,2200.9042399488762,12582.488744,19358.45922746781,1398,886891,634.3998569384836,0.9713876967095851,0.02861230329041488
set_partition_benchmarks,sppnw26,data/batch_2/set_partition_benchmarks/sppnw26.txt,success,1,25.796601,25.673086,0.995212,805896,11932,5966,5966,1366,1411,45,0.11448206503519946,0.003771371102916527,0.3726952732148843,107.07274555816292,61.161414683204825,2858.518689239021,117449.713971,124918.6137491141,1411,25973204,18407.656980864635,0.9681077250177179,0.031892274982282066
set_partition_benchmarks,sppnw27,data/batch_2/set_partition_benchmarks/sppnw27.txt,timeout_partial,0,,,,,432,218,214,5301,5575,274,12.270833333333334,0.6342592592592593,25.6875,7973.752314814815,23.44212962962963,5833.321759259259,28377.372698545456,265454.922690583,5575,128879928,23117.47587443946,0.9508520179372197,0.04914798206278027
set_partition_benchmarks,sppnw28,data/batch_2/set_partition_benchmarks/sppnw28.txt,success,1,46.099936,45.965873,0.997092,20117,8666,4333,4333,3489,3527,38,0.4026078929148396,0.0043849526886683594,0.40699284560350796,193.90733902607892,65.5522732517886,3728.678859912301,163381.22691216666,230916.8630564219,3527,17674907,5011.314715055288,0.9892259710802381,0.010774028919761838
